maranyane a mahala a le wena o kgonang go a fetola.	maraɲanɪ a mahala a lɪ wɪna ʊ k͡χʰʊnaŋ χʊ a fɪtʊla .
The Yopougon Stormwater Drain ke porojeke ya go gelela metsi a pula e e fitlhelwang kwa komoneng ya Yopougon, kwa lefatsheng la Abidjan, Côte d'Ivoire.	tʰɪ jʊpʊuχʊn stʊrmwatɪr drain kɪ pʊrʊd͡ʒɪkɪ ja χʊ χɪlɪla mɪt͡si a pula ɪ ɪ fit͡ɬʰɪlwaŋ kwa kʊmʊnɪŋ ja jʊpʊuχʊn , kwa lɪfat͡sʰɪŋ la abidd͡ʒan , kɔtɪ d ivʊirɪ .
Diphororo tsa Farin Ruwa di fitlhelwa kwa motseng wa Massange wa Farin Ruwa Development Area kwa Wamba Local Government Area ya Nasarawa State. Diphororo di fitlhelwa mo molelwaneng wa Plateau State le Nasarawa State, ka fa tlase ga Bokkos le Wamba Local Government Areas tsa diporofense tse pedi. Diphororo di simologa kwa Jos Plateau, mo Bokkos Local Government Area ya Plateau State.	dipʰʊrʊrʊ t͡sa farin ruwa di fit͡ɬʰɪlwa kwa mʊt͡sɪŋ wa massaŋɪ wa farin ruwa dɪvɪlʊpmɪnt arɪa kwa wamba lʊkal χʊvɪrnmɪnt arɪa ja nasarawa statɪ . dipʰʊrʊrʊ di fit͡ɬʰɪlwa mʊ mʊlɪlwanɪŋ wa platɪau statɪ lɪ nasarawa statɪ , ka fa t͡ɬasɪ χa bʊkkʊs lɪ wamba lʊkal χʊvɪrnmɪnt arɪas t͡sa dipʊrʊfɪnsɪ t͡sɪ pɪdi . dipʰʊrʊrʊ di simʊlʊχa kwa d͡ʒʊs platɪau , mʊ bʊkkʊs lʊkal χʊvɪrnmɪnt arɪa ja platɪau statɪ .
Noka e e na le matamo a a nsoetsang le a go fetlhiwang motlakase mo go one mo boleeleng jwa yone, e ntsha metsi a go nosetsa tsa temothuo le tsa madirelo ga mmogo le kwa toropong ya Cape Town. Ga goa papamala gore ke eng fa go ntse go na le koketsego ya metsi mo dingwageng tse di masome a mararo tse di fetileng.	nʊka ɪ ɪ na lɪ matamʊ a a nsʊɪt͡saŋ lɪ a χʊ fɪt͡ɬʰiwaŋ mʊt͡ɬakasɪ mʊ χʊ ʊnɪ mʊ bʊlɪɪlɪŋ d͡ʒwa jʊnɪ , ɪ nt͡sʰa mɪt͡si a χʊ nʊsɪt͡sa t͡sa tɪmʊtʰuʊ lɪ t͡sa madirɪlʊ χa mmʊχʊ lɪ kwa tʊrʊpʊŋ ja kapɪ tʊwn . χa χʊa papamala χʊrɪ kɪ ɪŋ fa χʊ nt͡sɪ χʊ na lɪ kʊkɪt͡sɪχʊ ja mɪt͡si mʊ diŋwaχɪŋ t͡sɪ di masʊmɪ a mararʊ t͡sɪ di fɪtilɪŋ .
Metsi le kgelelo-leswe ga di a tlamelwa sentle mo Nigeria. Ka sekai, ditheo tsa metsi tsa puso di na le badiri ba bantsi thata. Ka ngwaga wa 2000, go ne go na le badiri ba ka nna masome a supa (70) mo badirising ba le sekete (1 000) mo ditheong tsa metsi tsa puso, fa go bapisiwa le kelo ya tiragatso e e gaisang ya 3.5. Metsi a e seng a lotseno gantsi a feta 50%.	mɪt͡si lɪ k͡χʰɪlɪlʊ lɪswɪ χa di a t͡ɬamɪlwa sɪnt͡ɬɪ mʊ niχɪria . ka sɪkai , ditʰɪʊ t͡sa mɪt͡si t͡sa pusʊ di na lɪ badiri ba bant͡si tʰata . ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi , χʊ nɪ χʊ na lɪ badiri ba ka nna masʊmɪ a supa masʊmɪ a supaŋ mʊ badirisiŋ ba lɪ sɪkɪtɪ sɪkɪtɪ mʊ ditʰɪʊŋ t͡sa mɪt͡si t͡sa pusʊ , fa χʊ bapisiwa lɪ kɪlʊ ja tiraχat͡sʊ ɪ ɪ χaisaŋ ja bʊrarʊ nt͡ɬʰa bʊt͡ɬʰanʊ . mɪt͡si a ɪ sɪŋ a lʊt͡sɪnʊ χant͡si a fɪta masʊmɪ a mat͡ɬʰanʊ mʊ lɪk͡χʰʊlʊŋ .
Letamo la Delta mo lekaleng la Damietta la Noka ya Nile (go tswa kwa tlase ga noka)	lɪtamʊ la dɪlta mʊ lɪkalɪŋ la damiɪtta la nʊka ja nilɪ χʊ t͡swa kwa t͡ɬasɪ χa nʊka
O matlhagatlhaga mo ditirong di le mmalwa mme ke leloko la Mokgatlho wa Crisis in Zimbabwe, Mokgatlho wa Basadi wa Zimbabwe, Sekolo sa Basadi sa Botswerere jwa Boeteledipele jwa Sepolotiki, le Women AIDS Support Network.	ʊ mat͡ɬʰaχat͡ɬʰaχa mʊ ditirʊŋ di lɪ mmalwa mmɪ kɪ lɪlʊkʊ la mʊk͡χʰat͡ɬʰʊ wa krisis in zimbabwɪ , mʊk͡χʰat͡ɬʰʊ wa basadi wa zimbabwɪ , sɪkʊlʊ sa basadi sa bʊt͡swɪrɪrɪ d͡ʒwa bʊɪtɪlɪdipɪlɪ d͡ʒwa sɪpʊlʊtiki , lɪ wʊmɪn aids suppʊrt nɪtwʊrk .
Ganga Talao e raya "Letsha la Ganga", e le go supa kgolagano ya Grand Bassin le noka ya India ya Ganga (Ganges).	χaŋa talaʊ ɪ raja lɪt͡sʰa la χaŋa , ɪ lɪ χʊ supa k͡χʰʊlaχanʊ ja χrand bassin lɪ nʊka ja india ja χaŋa χaŋɪs .
Ka letsha la Nasser e le legae la mefua e le masome matlhano le bobedi ya ditlhapi e bontsi jwa yone e leng mefuta ya tilapia e e tshwarwang thata, ga mmogo le Nile Perch, letsha le dirile mohama o motona wa go tshwara ditlhapi, mekoro e le dikete ya go tshwara ditlhapi e feta mo nokeng, le mafelo a go tsamaisa ditlhapi a mo lotshitshing lwa lone.	ka lɪt͡sʰa la nassɪr ɪ lɪ lɪχaɪ la mɪfua ɪ lɪ masʊmɪ mat͡ɬʰanʊ lɪ bʊbɪdi ja dit͡ɬʰapi ɪ bʊnt͡si d͡ʒwa jʊnɪ ɪ lɪŋ mɪfuta ja tilapia ɪ ɪ t͡sʰwarwaŋ tʰata , χa mmʊχʊ lɪ nilɪ pɪrkh , lɪt͡sʰa lɪ dirilɪ mʊhama ʊ mʊtʊna wa χʊ t͡sʰwara dit͡ɬʰapi , mɪkʊrʊ ɪ lɪ dikɪtɪ ja χʊ t͡sʰwara dit͡ɬʰapi ɪ fɪta mʊ nʊkɪŋ , lɪ mafɪlʊ a χʊ t͡samaisa dit͡ɬʰapi a mʊ lʊt͡sʰit͡sʰiŋ lwa lʊnɪ .
Toropo ya Cotonou e mo molelwaneng o o kafa borwa wa letsha leno. Dikarolo tsa baagi ba Cotonou di ne tsa fudusiwa ke merwalela ya kwa lotshitshing le kwa matsheng. Toropo ya Ganvié e kwa ntlheng ya bokone jwa letsha leno.	tʊrʊpʊ ja kʊtʊnʊu ɪ mʊ mʊlɪlwanɪŋ ʊ ʊ kafa bʊrwa wa lɪt͡sʰa lɪnʊ . dikarʊlʊ t͡sa baaχi ba kʊtʊnʊu di nɪ t͡sa fudusiwa kɪ mɪrwalɪla ja kwa lʊt͡sʰit͡sʰiŋ lɪ kwa mat͡sʰɪŋ . tʊrʊpʊ ja χanviɪ ɪ kwa nt͡ɬʰɪŋ ja bʊkʊnɪ d͡ʒwa lɪt͡sʰa lɪnʊ .
Noka ya Mupfure e ile ya nna lefelo la dikotsi di le mmalwa le la go nwela. Ka kgwedi ya Phatwe ka ngwaga wa dikete tse pedi le masome a mabedi le bobedi (2022), dikoloi tse pedi tse di neng di tsamaya mo tseleng e kgolo ya Harare-Masvingo di ne tsa nna le kotsi mme tsa wela mo nokeng. Batho ba le batlhano ba ba neng ba le mo teng ga dikoloi ba ne ba nwela fa ba sena go wela mo nokeng.	nʊka ja mupfurɪ ɪ ilɪ ja nna lɪfɪlʊ la dikʊt͡si di lɪ mmalwa lɪ la χʊ nwɪla . ka k͡χʰwɪdi ja pʰatwɪ ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊbɪdi dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊbɪdi , dikʊlʊi t͡sɪ pɪdi t͡sɪ di nɪŋ di t͡samaja mʊ t͡sɪlɪŋ ɪ k͡χʰʊlʊ ja hararɪ masviŋʊ di nɪ t͡sa nna lɪ kʊt͡si mmɪ t͡sa wɪla mʊ nʊkɪŋ . batʰʊ ba lɪ bat͡ɬʰanʊ ba ba nɪŋ ba lɪ mʊ tɪŋ χa dikʊlʊi ba nɪ ba nwɪla fa ba sɪna χʊ wɪla mʊ nʊkɪŋ .
Ka ntlha ya mefutafuta ya ditshedi tsa yone e e sa tshwaneng le epe, Tanzania e ne ya bitsa Letsha la Natron Basin go nna karolo ya Lenaane la Ramsar la Mafelo a Metsi a a Botlhokwa mo Lefatsheng ka Bophara ka kgwedi ya Phukwi e le nne,ngwaga wa dikete tse pedi le motso . Letsha leno gape ke lefelo la World Wildlife Fund la East African halophytics ecoregion.	ka nt͡ɬʰa ja mɪfutafuta ja dit͡sʰɪdi t͡sa jʊnɪ ɪ ɪ sa t͡sʰwanɪŋ lɪ ɪpɪ , tanzania ɪ nɪ ja bit͡sa lɪt͡sʰa la natrʊn basin χʊ nna karʊlʊ ja lɪnaanɪ la ramsar la mafɪlʊ a mɪt͡si a a bʊt͡ɬʰʊkwa mʊ lɪfat͡sʰɪŋ ka bʊpʰara ka k͡χʰwɪdi ja pʰukwi ɪ lɪ nnɪ , ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ mʊt͡sʊ . lɪt͡sʰa lɪnʊ χapɪ kɪ lɪfɪlʊ la wʊrld wildlifɪ fund la ɪast afrikan halʊpʰjtiks ɪkʊrɪχiʊn .
Letsha la Kompienga ke letsha le le mo kgaolwaneng ya Kompienga kwa borwabotlhaba jwa Burkina Faso. Letamo la Kompienga le ne la agiwa ka dingwaga tsa bo sekete,makgolo a robabongwe le masome a robabobedi go dira letsha ka mabaka a itsholelo.	lɪt͡sʰa la kʊmpiɪŋa kɪ lɪt͡sʰa lɪ lɪ mʊ k͡χʰaʊlwanɪŋ ja kʊmpiɪŋa kwa bʊrwabʊt͡ɬʰaba d͡ʒwa burkina fasʊ . lɪtamʊ la kʊmpiɪŋa lɪ nɪ la aχiwa ka diŋwaχa t͡sa bʊ sɪkɪtɪ , mak͡χʰʊlʊ a rʊbabʊŋwɪ lɪ masʊmɪ a rʊbabʊbɪdi χʊ dira lɪt͡sʰa ka mabaka a it͡sʰʊlɪlʊ .
Letamo la Cahora Bassa ke letamo le le kgabaganyang Noka ya Zambezi, le le kwa lefatsheng la Mozambique. E weditswe ka sekete , makgolo a robabongwe le masome a supa le borobabongwe (1979), letamo le le tlhagileng, Cahora Bassa Lake, le agilwe segolo segolo go tlhagisa maatla a motlakase wa metsi a a dirisediwang Aforika Borwa.	lɪtamʊ la kahʊra bassa kɪ lɪtamʊ lɪ lɪ k͡χʰabaχaɲaŋ nʊka ja zambɪzi , lɪ lɪ kwa lɪfat͡sʰɪŋ la mʊzambikuɪ . ɪ wɪdit͡swɪ ka sɪkɪtɪ , mak͡χʰʊlʊ a rʊbabʊŋwɪ lɪ masʊmɪ a supa lɪ bʊrʊbabʊŋwɪ sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a supaŋ lɪ bʊfɪra bʊŋwɪ , lɪtamʊ lɪ lɪ t͡ɬʰaχilɪŋ , kahʊra bassa lakɪ , lɪ aχilwɪ sɪχʊlʊ sɪχʊlʊ χʊ t͡ɬʰaχisa maat͡ɬa a mʊt͡ɬakasɪ wa mɪt͡si a a dirisɪdiwaŋ afʊrika bʊrwa .
Tikologo e e mo ditlhaketlhakeng tse di mo letsheng leno le mafelo a a dikologileng a akaretsa dikgwa tse di fa thoko ga letsha le mafelo a a bongola a a sireletsang dikorila tsa dithaba tse di mo kotsing ya go nyelela.	tikʊlʊχʊ ɪ ɪ mʊ dit͡ɬʰakɪt͡ɬʰakɪŋ t͡sɪ di mʊ lɪt͡sʰɪŋ lɪnʊ lɪ mafɪlʊ a a dikʊlʊχilɪŋ a akarɪt͡sa dik͡χʰwa t͡sɪ di fa tʰʊkʊ χa lɪt͡sʰa lɪ mafɪlʊ a a bʊŋʊla a a sirɪlɪt͡saŋ dikʊrila t͡sa ditʰaba t͡sɪ di mʊ kʊt͡siŋ ja χʊ ɲɪlɪla .
Dinoka tsa Rutshuru, Rwindi le Ishasha di bopa dithotobolo le mafulo kwa borwa jwa Letsha la Rutanzige.	dinʊka t͡sa rut͡sʰuru , rwindi lɪ iʃaʃa di bʊpa ditʰʊtʊbʊlʊ lɪ mafulʊ kwa bʊrwa d͡ʒwa lɪt͡sʰa la rutanziχɪ .
Noka ya Corubal, e e itsegeng gape jaaka Rio Corubal kgotsa Tomine, ke noka ya Afrika Bophirima, e e leng karolo e kgolo ya Noka ya Geba. Mo sekgaleng se sekhutshwane, e dira molelwane wa boditšhabatšhaba fa gare ga Guinea le Guinea-Bissau. E boleele jwa dikilometara di le makgolo a matlhano le masome a marataro (350 mi).	nʊka ja kʊrubal , ɪ ɪ it͡sɪχɪŋ χapɪ d͡ʒaaka riʊ kʊrubal k͡χʰʊt͡sa tʊminɪ , kɪ nʊka ja afrika bʊpʰirima , ɪ ɪ lɪŋ karʊlʊ ɪ k͡χʰʊlʊ ja nʊka ja χɪba . mʊ sɪk͡χʰalɪŋ sɪ sɪkʰut͡sʰwanɪ , ɪ dira mʊlɪlwanɪ wa bʊdit͡ʃʰabat͡ʃʰaba fa χarɪ χa χuinɪa lɪ χuinɪa bissau . ɪ bʊlɪɪlɪ d͡ʒwa dikilʊmɪtara di lɪ mak͡χʰʊlʊ a mat͡ɬʰanʊ lɪ masʊmɪ a maratarʊ dimaɪlɪ di lɪ mak͡χʰʊlʊ a mararʊ lɪ masʊmɪ a mat͡ɬʰanʊ .
Ka kgwedi ya Phatwe e tlhola malatsi a le lesome le botlhano ka ngwaga wa dikete tse pedi le borataro, Wikimedia Foundation e ne ya tlhoma Wikiversity.	ka k͡χʰwɪdi ja pʰatwɪ ɪ t͡ɬʰʊla malat͡si a lɪ lɪsʊmɪ lɪ bʊt͡ɬʰanʊ ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ bʊratarʊ , wikimɪdia fʊundatiʊn ɪ nɪ ja t͡ɬʰʊma wikivɪrsitj .
Komponi e ne ya fiwa teseletso ya ntlha ka kgwedi ya Tlhakole e le lesome le bouspa,ngwaga wa sekete,makgolo a robabongwe le masome a robabongwe le borobabobedi. E theilwe ke Strive Masiyiwa.	kʊmpʊni ɪ nɪ ja fiwa tɪsɪlɪt͡sʊ ja nt͡ɬʰa ka k͡χʰwɪdi ja t͡ɬʰakʊlɪ ɪ lɪ lɪsʊmɪ lɪ bʊuspa , ŋwaχa wa sɪkɪtɪ , mak͡χʰʊlʊ a rʊbabʊŋwɪ lɪ masʊmɪ a rʊbabʊŋwɪ lɪ bʊrʊbabʊbɪdi . ɪ tʰɪilwɪ kɪ strivɪ masijiwa .
Go dira letsholo la molao go sireletsa Bajibareki	χʊ dira lɪt͡sʰʊlʊ la mʊlaʊ χʊ sirɪlɪt͡sa bad͡ʒibarɪki
Go tloga ka ngwaga wa dikete tse pedi le masome a mabedi le botlhano (2025), o nna kwa Pretoria, mo Afrika Borwa, fa a ntse a tsweletse go dira mo diporojekeng tse di amanang le Botswana.	χʊ t͡ɬʊχa ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊt͡ɬʰanʊ dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊt͡ɬʰanʊ , ʊ nna kwa prɪtʊria , mʊ afrika bʊrwa , fa a nt͡sɪ a t͡swɪlɪt͡sɪ χʊ dira mʊ dipʊrʊd͡ʒɪkɪŋ t͡sɪ di amanaŋ lɪ bʊt͡swana .
Setshwantsho sa pina ya Take me to your leader ka setlhopha sa America sa mmino wa rock sa Incubus se bua ka filimi e.	sɪt͡sʰwant͡sʰʊ sa pina ja takɪ mɪ tʊ jʊur lɪadɪr ka sɪt͡ɬʰʊpʰa sa amɪrika sa mminʊ wa rʊkk sa inkubus sɪ bua ka filimi ɪ .
O ne a ttsena mo loetong lwa kgwebo ka go tlhama maranyane a dikhopmutara le morwarraagwe, Henry Newman ba tlhama kompone ya verbosec ka ngwaga wa dikete pedi lesome le borbabongwe.	ʊ nɪ a tt͡sɪna mʊ lʊɪtʊŋ lwa k͡χʰwɪbʊ ka χʊ t͡ɬʰama maraɲanɪ a dikʰʊpmutara lɪ mʊrwarraaχwɪ , hɪnrj nɪwman ba t͡ɬʰama kʊmpʊnɪ ja vɪrbʊsɪk ka ŋwaχa wa dikɪtɪ pɪdi lɪsʊmɪ lɪ bʊrbabʊŋwɪ .
Tlhakole a le masome a mabedi le botlhano - Archibald Mogwe, dingwaga di le masome a robabongwe le borobabongwe, mopolotiki le moemedi wa mafatshe, tona wa merero ya mafatshe a sele (ngwaga wa sekete makgolo a robabongwe masome a supa le bone go tsena ngwaga wa sekete makgolo a robabongwe masome a robabobedi le bone).	t͡ɬʰakʊlɪ a lɪ masʊmɪ a mabɪdi lɪ bʊt͡ɬʰanʊ arkhibald mʊχwɪ , diŋwaχa di lɪ masʊmɪ a rʊbabʊŋwɪ lɪ bʊrʊbabʊŋwɪ , mʊpʊlʊtiki lɪ mʊɪmɪdi wa mafat͡sʰɪ , tʊna wa mɪrɪrʊ ja mafat͡sʰɪ a sɪlɪ ŋwaχa wa sɪkɪtɪ mak͡χʰʊlʊ a rʊbabʊŋwɪ masʊmɪ a supa lɪ bʊnɪ χʊ t͡sɪna ŋwaχa wa sɪkɪtɪ mak͡χʰʊlʊ a rʊbabʊŋwɪ masʊmɪ a rʊbabʊbɪdi lɪ bʊnɪ .
Dikgwedi tsa selemo di simolola mo bogareng jwa September go fitlha mo bogareng jwa April. Selemo se mogote thata kwa Palapye, ka dithemperetšha tsa motshegare di fitlha go 40 °C. Diphefo tsa matsubutsubu di dintsi thata ka selemo. Gantsi pula e na ka selekanyo sa dimilimetara di le makgolo a mararo ka ngwaga. Mariga a kwa Palapye a bonolo e bile a omeletse.	dik͡χʰwɪdi t͡sa sɪlɪmʊ di simʊlʊla mʊ bʊχarɪŋ d͡ʒwa sɪptɪmbɪr χʊ fit͡ɬʰa mʊ bʊχarɪŋ d͡ʒwa april . sɪlɪmʊ sɪ mʊχʊtɪ tʰata kwa palapjɪ , ka ditʰɪmpɪrɪt͡ʃʰa t͡sa mʊt͡sʰɪχarɪ di fit͡ɬʰa χʊ dikirii t͡sa kɪlkius di lɪ masʊmɪ a manɪ . dipʰɪfʊ t͡sa mat͡subut͡subu di dint͡si tʰata ka sɪlɪmʊ . χant͡si pula ɪ na ka sɪlɪkaɲʊ sa dimilimɪtara di lɪ mak͡χʰʊlʊ a mararʊ ka ŋwaχa . mariχa a kwa palapjɪ a bʊnʊlʊ ɪ bilɪ a ʊmɪlɪt͡sɪ .
Tshabong ke lefelo la themphereitšha e e tsididi go gaisa tsotlhe e e kwadilweng mo Botswana, e e kwadisang themphereitšha ya −15.0 °C (5.0 °F) .Themphereitšha e e kwa godimo e e kwadisitsweng kwa Tsabong e ne e le 42.6 °C (108.7 °F).	t͡sʰabʊŋ kɪ lɪfɪlʊ la tʰɪmpʰɪrɪit͡ʃʰa ɪ ɪ t͡sididi χʊ χaisa t͡sʊt͡ɬʰɪ ɪ ɪ kwadilwɪŋ mʊ bʊt͡swana , ɪ ɪ kwadisaŋ tʰɪmpʰɪrɪit͡ʃʰa ja dikirii t͡sa kɪlkius t͡sɪ di kwa t͡ɬasɪ χa lɪfɪla di lɪ lɪsʊmɪ lɪ bʊt͡ɬʰanʊ nt͡ɬʰa lɪfɪla dikirii t͡sa fahrɪnhɪit di lɪ bʊt͡ɬʰanʊ nt͡ɬʰa lɪfɪla . tʰɪmpʰɪrɪit͡ʃʰa ɪ ɪ kwa χʊdimʊ ɪ ɪ kwadisit͡swɪŋ kwa t͡sabʊŋ ɪ nɪ ɪ lɪ dikirii t͡sa kɪlkius di lɪ masʊmɪ a manɪ lɪ bʊbɪdi nt͡ɬʰa bʊratarʊ dikirii t͡sa fahrɪnhɪit di lɪ lɪk͡χʰʊlʊ lɪ bʊfɪra bʊbɪdi nt͡ɬʰa bʊsupa .
Di-temperature di tloga go 17° go ya go 31&nbsp;°C (62° go ya go 88&nbsp;°F) ka selemo, mme go tloga go 3° go ya go 21&nbsp;°C (37° go ya go 70&nbsp;°F) ka mariga. Pula mo ngwageng ena dimilimitara dile 360 (360&#x20;mm) (go lekana le 14 in), bontsi ba pula e bo na ka dikgwedi tsa selemo, magareng ga Diphalane le Moranang.	di tɪmpɪraturɪ di t͡ɬʊχa χʊ dikirii di lɪ lɪsʊmɪ lɪ bʊsupa χʊ ja χʊ dikirii t͡sa kɪlkius di lɪ masʊmɪ a mararʊ lɪ bʊŋwɪ dikirii di lɪ masʊmɪ a maratarʊ lɪ bʊbɪdi χʊ ja χʊ dikirii t͡sa fahrɪnhɪit di lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊfɪra bʊbɪdi ka sɪlɪmʊ , mmɪ χʊ t͡ɬʊχa χʊ dikirii di lɪ bʊrarʊ χʊ ja χʊ dikirii t͡sa kɪlkius di lɪ masʊmɪ a mabɪdi lɪ bʊŋwɪ dikirii di lɪ masʊmɪ a mararʊ lɪ bʊsupa χʊ ja χʊ dikirii t͡sa fahrɪnhɪit di lɪ masʊmɪ a supaŋ ka mariχa . pula mʊ ŋwaχɪŋ ɪna dimilimitara dilɪ mak͡χʰʊlʊ a mararʊ lɪ masʊmɪ a maratarʊ dimilimɪtara di lɪ mak͡χʰʊlʊ a mararʊ lɪ masʊmɪ a maratarʊ χʊ lɪkana lɪ lɪsʊmɪ lɪ bʊnɪ in , bʊnt͡si ba pula ɪ bʊ na ka dik͡χʰwɪdi t͡sa sɪlɪmʊ , maχarɪŋ χa dipʰalanɪ lɪ mʊranaŋ .
Moyuropa wa ntlha go tlhalosa puo eno e ne e le mojanala wa Mojeremane e bong Hinrich Lichtenstein, yo o neng a nna mo gare ga batho ba Batswana ba Batlhaping ka 1806 le fa tiro ya gagwe e ne e sa gatisiwe go fitlha ka 1930. O ne a tsaya Setswana ka phoso e le puo ya Sexhosa mme leina le a neng a le dirisa "Beetjuana" gape le ne le akaretsa puo ya Sesotho sa Bokone le Sesotho sa Borwa.	mʊjurʊpa wa nt͡ɬʰa χʊ t͡ɬʰalʊsa puʊ ɪnʊ ɪ nɪ ɪ lɪ mʊd͡ʒanala wa mʊd͡ʒɪrɪmanɪ ɪ bʊŋ hinrikh likhtɪnstɪin , jʊ ʊ nɪŋ a nna mʊ χarɪ χa batʰʊ ba bat͡swana ba bat͡ɬʰapiŋ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ bʊratarʊ lɪ fa tirʊ ja χaχwɪ ɪ nɪ ɪ sa χatisiwɪ χʊ fit͡ɬʰa ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mararʊ . ʊ nɪ a t͡saja sɪt͡swana ka pʰʊsʊ ɪ lɪ puʊ ja sɪkshʊsa mmɪ lɪina lɪ a nɪŋ a lɪ dirisa bɪɪtd͡ʒuana χapɪ lɪ nɪ lɪ akarɪt͡sa puʊ ja sɪsʊtʰʊ sa bʊkʊnɪ lɪ sɪsʊtʰʊ sa bʊrwa .
Tiro ya ntlha e kgolo ka ga Setswana e ne ya dirwa ke morongwa wa Moboritane Robert Moffat, yo le ene a neng a nna mo gare ga Batlhaping, mme a gatisa Bechuana Spelling Book le A Bechuana Catechism ka 1826. Mo dingwageng tse di latelang, o ne a gatisa dibuka tse dingwe di le mmalwa tsa Baebele, mme ka 1857, o ne a kgona go gatisa Baebele e e feletseng.	tirʊ ja nt͡ɬʰa ɪ k͡χʰʊlʊ ka χa sɪt͡swana ɪ nɪ ja dirwa kɪ mʊrʊŋwa wa mʊbʊritanɪ rʊbɪrt mʊffat , jʊ lɪ ɪnɪ a nɪŋ a nna mʊ χarɪ χa bat͡ɬʰapiŋ , mmɪ a χatisa bɪkhuana spɪlliŋ bʊʊk lɪ a bɪkhuana katɪkhism ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ masʊmɪ a mabɪdi lɪ bʊratarʊ . mʊ diŋwaχɪŋ t͡sɪ di latɪlaŋ , ʊ nɪ a χatisa dibuka t͡sɪ diŋwɪ di lɪ mmalwa t͡sa baɪbɪlɪ , mmɪ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ masʊmɪ a mat͡ɬʰanʊ lɪ bʊsupa , ʊ nɪ a k͡χʰʊna χʊ χatisa baɪbɪlɪ ɪ ɪ fɪlɪt͡sɪŋ .
Tlhaka š e ne ya simolodisiwa ka 1937, mme modumo o o tsamaelanang le yone o sa ntse o kwalwa ka dinako dingwe e le ⟨sh⟩. Ditlhaka ⟨ê⟩ le ⟨ô⟩ di dirisiwa mo dibukeng tsa thuto le mo dibukeng tsa ditshupiso tsa puo, mme e seng thata mo mokwalong o o tlwaelesegileng wa letsatsi le letsatsi.	t͡ɬʰaka ʃ ɪ nɪ ja simʊlʊdisiwa ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mararʊ lɪ bʊsupa , mmɪ mʊdumʊ ʊ ʊ t͡samaɪlanaŋ lɪ jʊnɪ ʊ sa nt͡sɪ ʊ kwalwa ka dinakʊ diŋwɪ ɪ lɪ ʃ . dit͡ɬʰaka ɛ lɪ ɔ di dirisiwa mʊ dibukɪŋ t͡sa tʰutʊ lɪ mʊ dibukɪŋ t͡sa dit͡sʰupisʊ t͡sa puʊ , mmɪ ɪ sɪŋ tʰata mʊ mʊkwalʊŋ ʊ ʊ t͡ɬwaɪlɪsɪχilɪŋ wa lɪt͡sat͡si lɪ lɪt͡sat͡si .
Gauteng, ke porofense e e neng e itsega ka leina la Pretoria-Witwatersrand-Vereeniging (PWV) le le tswileng mo go la Transvaal ka ngwaga wa 1994. Lefelo le le tletse ka batho ba lekoko la ANC go tswa kwa ngwageng wa kgethololo ya batho ba bantsho.	χautɪŋ , kɪ pʊrʊfɪnsɪ ɪ ɪ nɪŋ ɪ it͡sɪχa ka lɪina la prɪtʊria witwatɪrsrand vɪrɪɪniχiŋ pwv lɪ lɪ t͡swilɪŋ mʊ χʊ la transvaal ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊnɪ . lɪfɪlʊ lɪ lɪ t͡ɬɪt͡sɪ ka batʰʊ ba lɪkʊkʊ la ank χʊ t͡swa kwa ŋwaχɪŋ wa k͡χʰɪtʰʊlʊlʊ ja batʰʊ ba bant͡sʰʊ .
