Sonda meniń qurayday, solǵanım dep, háwjar.»	sonˈdɑ meˈniŋ qurɑjˈdɑj , solʁɑˈnɯm ˈdep , hæwˈʒɑr .
Kestert — Germaniyanıń Rhineland-Palatinate shtatında jaylasqan kommuna bolıp tabıladı. Bul kommuna Rhein-Lahn-Kreis rayonı quramına kiredi.	kesˈtert ɡermɑnijɑˈnɯŋ rhineˈlɑnd pɑlɑtinɑˈte ʃtɑtɯnˈdɑ ʒɑjlɑsˈqɑn kommuˈnɑ boˈlɯp tɑbɯlɑˈdɯ . ˈbul kommuˈnɑ rheˈin ˈlɑhn kreˈis rɑjoˈnɯ qurɑmɯˈnɑ kireˈdi .
Kasel (bei Trier) — Germaniyanıń Rhineland-Palatinate shtatında jaylasqan kommuna bolıp tabıladı. Bul kommuna Trier-Saarburg rayonı quramına kiredi.	kɑˈsel beˈi triˈer ɡermɑnijɑˈnɯŋ rhineˈlɑnd pɑlɑtinɑˈte ʃtɑtɯnˈdɑ ʒɑjlɑsˈqɑn kommuˈnɑ boˈlɯp tɑbɯlɑˈdɯ . ˈbul kommuˈnɑ triˈer sɑɑrˈburɡ rɑjoˈnɯ qurɑmɯˈnɑ kireˈdi .
Limbach (Westerwald) — Germaniyanıń Rhineland-Palatinate shtatında jaylasqan kommuna bolıp tabıladı. Bul kommuna Westerwaldkreis rayonı quramına kiredi.	limˈbɑt͡ʃ westerˈwɑld ɡermɑnijɑˈnɯŋ rhineˈlɑnd pɑlɑtinɑˈte ʃtɑtɯnˈdɑ ʒɑjlɑsˈqɑn kommuˈnɑ boˈlɯp tɑbɯlɑˈdɯ . ˈbul kommuˈnɑ westerwɑldkreˈis rɑjoˈnɯ qurɑmɯˈnɑ kireˈdi .
1790-jıl 8-may — frantsuz milliy qurultayı qararı menen, 1 metr — 1 sekundta 45° múyesh astında terbelip atırǵan yarım dáwirli mayatnik uzunlıǵına teń etip alındı.	ˈmɯŋ ʒeˈti ˈʒyz toqˈsɑn ˈʒɯl seˈɡiz ˈmɑj frɑntˈsuz milˈlij qurultɑˈjɯ qɑrɑˈrɯ meˈnen , ˈbir ˈmetr ˈbir sekundˈtɑ ˈqɯrq ˈbes ɡrɑˈdus myˈjeʃ ɑstɯnˈdɑ terbeˈlip ɑtɯrˈʁɑn jɑˈrɯm dæwirˈli mɑjɑtˈnik uzunlɯʁɯˈnɑ ˈteŋ eˈtip ɑlɯnˈdɯ .
Klimatı ortasha. Yanvardın ortasha temperaturası -1, -4°C, iyulde 15°C dan 18°C ǵa shekem. Jılına 500-900 mm, tawlarda 2000 mm ge shekem jawın jawadı. Tiykarǵı dáryası — Dunay hám onıń tarmaqları (Inn, Traun, Ens, Drava hám basqalar).	klimɑˈtɯ ortɑˈʃɑ . jɑnvɑrˈdɯn ortɑˈʃɑ temperɑturɑˈsɯ miˈnus ˈbir , miˈnus ˈtørt ɡrɑˈdus , ijulˈde ˈon ˈbes ɡrɑˈdus ˈdɑn ˈon seˈɡiz ɡrɑˈdus ˈʁɑ ʃeˈkem . ʒɯlɯˈnɑ ˈbes ˈʒyz , toˈʁɯz ˈʒyz milliˈmetr , tɑwlɑrˈdɑ eˈki ˈmɯŋ milliˈmetr ˈɡe ʃeˈkem ʒɑˈwɯn ʒɑwɑˈdɯ . tijkɑrˈʁɯ dærjɑˈsɯ duˈnɑj ˈhæm oˈnɯŋ tɑrmɑqlɑˈrɯ ˈɯnn , trɑˈun , ˈens , drɑˈvɑ ˈhæm bɑsqɑˈlɑr .
Ájiniyazdıń Qız Meńesh penen aytısı 1864-jılı bolıp ótken, aytısta Ájiniyaz óziniń qırq jasqa shıqqanlıǵın aytadı.	æʒinijɑzˈdɯŋ ˈqɯz meˈŋeʃ peˈnen ɑjtɯˈsɯ ˈmɯŋ seˈɡiz ˈʒyz ɑlˈpɯs ˈtørt ʒɯˈlɯ boˈlɯp øtˈken , ɑjtɯsˈtɑ æʒiniˈjɑz øziˈniŋ ˈqɯrq ʒɑsˈqɑ ʃɯqqɑnlɯˈʁɯn ɑjtɑˈdɯ .
Solay etip, Ájiniyaz 1864-jılı qırǵa úshinshi mártebe barǵanında Qız Meńesh penen aytısadı. «Sózdiń bası — sálem» dep aytılǵanınday-aq aytıstı Qız Meńesh baslap beredi.	soˈlɑj eˈtip , æʒiniˈjɑz ˈmɯŋ seˈɡiz ˈʒyz ɑlˈpɯs ˈtørt ʒɯˈlɯ qɯrˈʁɑ yʃinˈʃi mærteˈbe bɑrʁɑnɯnˈdɑ ˈqɯz meˈŋeʃ peˈnen ɑjtɯsɑˈdɯ . søzˈdiŋ bɑˈsɯ sæˈlem ˈdep ɑjtɯlʁɑnɯnˈdɑj ˈɑq ɑjtɯsˈtɯ ˈqɯz meˈŋeʃ bɑsˈlɑp bereˈdi .
Ájiniyaz Qosıbay ulı Qazaqstan dalalarında birinshi mártebe jigirma jaslarında 1845-1846-jıllar shamasında bir jılǵa shamalas bolıp qaytqan.	æʒiniˈjɑz qosɯˈbɑj uˈlɯ qɑzɑqsˈtɑn dɑlɑlɑrɯnˈdɑ birinˈʃi mærteˈbe ʒiɡirˈmɑ ʒɑslɑrɯnˈdɑ ˈmɯŋ seˈɡiz ˈʒyz ˈqɯrq ˈbes , ˈmɯŋ seˈɡiz ˈʒyz ˈqɯrq ɑlˈtɯ ʒɯlˈlɑr ʃɑmɑsɯnˈdɑ ˈbir ʒɯlˈʁɑ ʃɑmɑˈlɑs boˈlɯp qɑjtˈqɑn .
1990-jıldan Xiywadaǵı Sherǵazıxan mediresesinde Ájiniyazdıń ómiri hám dóretiwshiligine arnalǵan ekspoziciya isleydi .	ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn ʒɯlˈdɑn χijwɑdɑˈʁɯ ʃerʁɑzɯˈχɑn mediresesinˈde æʒinijɑzˈdɯŋ ømiˈri ˈhæm døretiwʃiliɡiˈne ɑrnɑlˈʁɑn ekspozikiˈjɑ islejˈdi .
80-jıllar ortasında kapitalistlik dúnyanın 3/4 sanaat ónimlerin 2 mınga shamalas iri korporaciyalar shıǵardı. Olardan júzlegeni eń áhmiyetli tovarlardıń turlerin 50% ten 80% ke shekem shıǵardı. Bul transnacional korporaciyalar tiykarǵı óndirislik hám júklemeni ózine algan.	sekˈsen ʒɯlˈlɑr ortɑsɯnˈdɑ kɑpitɑlistˈlik dynjɑˈnɯn ˈyʃ ˈtørt sɑnɑˈɑt ønimleˈrin eˈki mɯnˈɡɑ ʃɑmɑˈlɑs iˈri korporɑkijɑˈlɑr ʃɯʁɑrˈdɯ . olɑrˈdɑn ʒyzleɡeˈni ˈeŋ æhmijetˈli tovɑrlɑrˈdɯŋ turleˈrin eˈliw prokentˈten sekˈsen prokentˈke ʃeˈkem ʃɯʁɑrˈdɯ . ˈbul trɑnsnɑkioˈnɑl korporɑkijɑˈlɑr tijkɑrˈʁɯ øndirisˈlik ˈhæm ʒyklemeˈni øziˈne ɑlˈɡɑn .
1 pikosekund = 1/1,000,000,000,000 sekund	ˈbir pikoseˈkund ˈbir ˈmɯŋ milliˈɑrd seˈkund
1 femtosecond = 1/1,000,000,000,000,000 sekund	ˈbir femtoseˈkond ˈbir ˈbir milliˈon milliˈɑrd seˈkund
IPv4 ushın tarmaq onıń subnet maskası yamasa netmaskası menen de sıpatlanıwı múmkin, ol tarmaqtaǵı hár qanday IP adresine bit boyınsha AND operaciyası qollanılǵanda marshrutlastırıw prefiksin beriwshi bit maskası bolıp tabıladı. Subnet maskaları da adress sıyaqlı noqatalı-onlıq notaciyada kórsetiledi. Mısalı, 255.255.255.0 - bul 198.51.100.0/24 prefiksi ushın subnet maskası bolıp esaplanadı.	ˈɯpv ˈtørt uˈʃɯn tɑrˈmɑq oˈnɯŋ subˈnet mɑskɑˈsɯ jɑmɑˈsɑ netmɑskɑˈsɯ meˈnen ˈde sɯpɑtlɑnɯˈwɯ mymˈkin , ˈol tɑrmɑqtɑˈʁɯ ˈhær qɑnˈdɑj ˈɯp ɑdresiˈne ˈbit bojɯnˈʃɑ ˈɑnd operɑkijɑˈsɯ qollɑnɯlʁɑnˈdɑ mɑrʃrutlɑstɯˈrɯw prefikˈsin beriwˈʃi ˈbit mɑskɑˈsɯ boˈlɯp tɑbɯlɑˈdɯ . subˈnet mɑskɑlɑˈrɯ ˈdɑ ɑdˈress sɯjɑqˈlɯ noqɑtɑˈlɯ onˈlɯq notɑkijɑˈdɑ kørsetileˈdi . mɯsɑˈlɯ , eˈki ˈʒyz eˈliw ˈbes . eˈki ˈʒyz eˈliw ˈbes . eˈki ˈʒyz eˈliw ˈbes . ˈnol ˈbul ˈʒyz toqˈsɑn seˈɡiz . eˈliw ˈbir . ˈʒyz . ˈnol ʒiɡirˈmɑ ˈtørt prefikˈsi uˈʃɯn subˈnet mɑskɑˈsɯ boˈlɯp esɑplɑnɑˈdɯ .
Baslı priz — Gúmis gúze (astındaǵı otırǵızǵıshı menen ulıwma awırlıǵı 198 kg, biyikligi 33,02 sm diametri 46.99sm).	bɑsˈlɯ pˈriz ɡyˈmis ɡyˈze ɑstɯndɑˈʁɯ otɯrʁɯzʁɯˈʃɯ meˈnen ulɯwˈmɑ ɑwɯrlɯˈʁɯ ˈʒyz toqˈsɑn seˈɡiz kiloɡˈrɑmm , bijikliˈɡi oˈtɯz ˈyʃ eˈki sɑntiˈmetr diɑmetˈri ˈqɯrq ɑlˈtɯ toqˈsɑn toˈʁɯz sɑntiˈmetr .
LATÍN JAZÍWÍNA TIYKARLANǴAN QARAQALPAQ ÁLIPBESIN ENGIZIW HAQQÍNDA 26.02.1994-j. №367/XII	lɑˈtɯn ʒɑzɯwɯˈnɑ tɯjkɑrlɑnˈʁɑn qɑrɑqɑlˈpɑq ælɯpbeˈsɯn enɡɯˈzɯw hɑqqɯnˈdɑ ʒiɡirˈmɑ ɑlˈtɯ . eˈki . ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn ˈtørt ˈʒɯl ˈyʃ ˈʒyz ɑlˈpɯs ʒeˈti ˈon eˈki
Qazaqstanda túrli millet wákilleri jasaydı. Xalıqtıń basım kópshiligi jergilikli qazaqlar – 70,18% , ruslar 18,42%, ózbekler 3,29%, ukrainlar 1.36%, uyǵırlar 1,48%, tatarlar 1,06%, basqa xalıqlar 5,38% (2021) . Xalıqtıń 75% tten aslamın musılmanlar quraydı,pravoslav xristianlar 21%, qalǵanı basqqa din wákilleri(2009) .	qɑzɑqstɑnˈdɑ tyrˈli milˈlet wækilleˈri ʒɑsɑjˈdɯ . χɑlɯqˈtɯŋ bɑˈsɯm køpʃiliˈɡi ʒerɡilikˈli qɑzɑqˈlɑr miˈnus ʒetˈpis ˈon seˈɡiz proˈkent , rusˈlɑr ˈon seˈɡiz ˈqɯrq eˈki proˈkent , øzbekˈler ˈyʃ ʒiɡirˈmɑ toˈʁɯz proˈkent , ukrɑinˈlɑr ˈbir oˈtɯz ɑlˈtɯ proˈkent , ujʁɯrˈlɑr ˈbir ˈqɯrq seˈɡiz proˈkent , tɑtɑrˈlɑr ˈbir ɑlˈtɯ proˈkent , bɑsˈqɑ χɑlɯqˈlɑr ˈbes oˈtɯz seˈɡiz proˈkent eˈki ˈmɯŋ ʒiɡirˈmɑ ˈbir . χɑlɯqˈtɯŋ ʒetˈpis ˈbes proˈkent tˈten ɑslɑˈmɯn musɯlmɑnˈlɑr qurɑjˈdɯ , prɑvosˈlɑv χristiɑnˈlɑr ʒiɡirˈmɑ ˈbir proˈkent , qɑlʁɑˈnɯ bɑsqˈqɑ ˈdin wækilleˈri eˈki ˈmɯŋ toˈʁɯz .
2007-jılı dekabr ayına kelip, Wikipediada 253 tilde 9.25 million maqala jazılǵan bolıp, barlıq Wikipedialarda 1.74 milliard shamalas sóz bolǵan.	eˈki ˈmɯŋ ʒeˈti ʒɯˈlɯ deˈkɑbr ɑjɯˈnɑ keˈlip , wikipediɑˈdɑ eˈki ˈʒyz eˈliw ˈyʃ tilˈde toˈʁɯz ʒiɡirˈmɑ ˈbes milliˈon mɑqɑˈlɑ ʒɑzɯlˈʁɑn boˈlɯp , bɑrˈlɯq wikipediɑlɑrˈdɑ ˈbir ʒetˈpis ˈtørt milliˈɑrd ʃɑmɑˈlɑs ˈsøz bolˈʁɑn .
Afriká úlkenligi boyınsha ekinshi materik bolıp, ol dúnya júzi jeriniń besten bir bólimine jaqın kóbirek jerdi iyeleydi hám ol úlken kólemde suw menen qorshalǵan. Ol 61 mámleketten ibarat hám ol jerde dúnya júzi xalqınıń 14% i jasaydı. Ol adamzat jasaǵan eń birinshi materik esaplanadı.	ɑfriˈkæ ylkenliˈɡi bojɯnˈʃɑ ekinˈʃi mɑteˈrik boˈlɯp , ˈol dynˈjɑ ʒyˈzi ʒeriˈniŋ besˈten ˈbir bølimiˈne ʒɑˈqɯn købiˈrek ʒerˈdi ijelejˈdi ˈhæm ˈol ylˈken kølemˈde ˈsuw meˈnen qorʃɑlˈʁɑn . ˈol ɑlˈpɯs ˈbir mæmleketˈten ibɑˈrɑt ˈhæm ˈol ʒerˈde dynˈjɑ ʒyˈzi χɑlqɯˈnɯŋ ˈon ˈtørt prokenˈti ʒɑsɑjˈdɯ . ˈol ɑdɑmˈzɑt ʒɑsɑˈʁɑn ˈeŋ birinˈʃi mɑteˈrik esɑplɑnɑˈdɯ .
Xalqı, tiykarınan, ázerbayjanlar (93%); ruslar, túrkler, lezginlar, avarlar, kurd, tolish, caxur, tatar, tatlar hám basqalar da jasaydı. Qala xalqı 54%. Rásmiy tili — Ázerbayjan tili. Iri qalaları: Boku, Sumgait, Mingechaur, Ganja, Lenkoran, Naxichevan. Dinge sıyınıwshıları — tiykarınan musulmanlar.	χɑlˈqɯ , tijkɑrɯˈnɑn , æzerbɑjʒɑnˈlɑr toqˈsɑn ˈyʃ proˈkent , rusˈlɑr , tyrkˈler , lezɡinˈlɑr , ɑvɑrˈlɑr , ˈkurd , toˈliʃ , kɑˈχur , tɑˈtɑr , tɑtˈlɑr ˈhæm bɑsqɑˈlɑr ˈdɑ ʒɑsɑjˈdɯ . qɑˈlɑ χɑlˈqɯ eˈliw ˈtørt proˈkent . ræsˈmij tiˈli æzerbɑjˈʒɑn tiˈli . ɯˈri qɑlɑlɑˈrɯ , boˈku , sumɡɑˈit , minɡet͡ʃɑˈur , ɡɑnˈʒɑ , lenkoˈrɑn , nɑχit͡ʃeˈvɑn . dinˈɡe sɯjɯnɯwʃɯlɑˈrɯ tijkɑrɯˈnɑn musulmɑnˈlɑr .
2015-jıl jaǵdayına kóre, Braziliyanıń ulıwma xalqı 207 847 528 adamdı quraydı. Xalıqtıń ósiw páti 0,91% (2010-2015) hám 1985-jıldan berli 2% ten az páseymekte. Xalıqtıń tıǵızlıǵı 24,9 adam/km², bul dúnya ortasha 56,5 adam/km² den talay tómen hám jámi xalıqtıń 85,7% (2015-jıl) qalalarda jasaydı. Ortasha jas — 31,3 hám 2015-jılda ǵarrı xalıqtıń úlesi 7,84% ti qurap, qartayǵan jámiyetke kiredi.	eˈki ˈmɯŋ ˈon ˈbes ˈʒɯl ʒɑʁdɑjɯˈnɑ køˈre , brɑzilijɑˈnɯŋ ulɯwˈmɑ χɑlˈqɯ eˈki ˈʒyz ʒeˈti milliˈon seˈɡiz ˈʒyz ˈqɯrq ʒeˈti ˈmɯŋ ˈbes ˈʒyz ʒiɡirˈmɑ seˈɡiz ɑdɑmˈdɯ qurɑjˈdɯ . χɑlɯqˈtɯŋ øˈsiw pæˈti ˈnol toqˈsɑn ˈbir proˈkent eˈki ˈmɯŋ ˈon , eˈki ˈmɯŋ ˈon ˈbes ˈhæm ˈmɯŋ toˈʁɯz ˈʒyz sekˈsen ˈbes ʒɯlˈdɑn berˈli eˈki prokentˈten ˈɑz pæsejmekˈte . χɑlɯqˈtɯŋ tɯʁɯzlɯˈʁɯ ʒiɡirˈmɑ ˈtørt toˈʁɯz ɑˈdɑm km , ˈbul dynˈjɑ ortɑˈʃɑ eˈliw ɑlˈtɯ ˈbes ɑˈdɑm km ˈden tɑˈlɑj tøˈmen ˈhæm ʒæˈmi χɑlɯqˈtɯŋ sekˈsen ˈbes ʒeˈti proˈkent eˈki ˈmɯŋ ˈon ˈbes ˈʒɯl qɑlɑlɑrˈdɑ ʒɑsɑjˈdɯ . ortɑˈʃɑ ˈʒɑs oˈtɯz ˈbir ˈyʃ ˈhæm eˈki ˈmɯŋ ˈon ˈbes ʒɯlˈdɑ ʁɑrˈrɯ χɑlɯqˈtɯŋ yleˈsi ʒeˈti sekˈsen ˈtørt prokentˈti quˈrɑp , qɑrtɑjˈʁɑn ʒæmijetˈke kireˈdi .
I. V. Savickiy atındaǵı Qaraqalpaqstan mámleketlik kórkem-óner muzeyi janında skluptor Baxtıyar Sayıpov eskizi boyınsha shayırǵa arnalǵan eskertkish qoyıldı. Eskertkish Ózbekstan Respublikası ministrler Kabinetiniń qararı menen 2019-jıl 4-oktyabrde Materiallıq mádeniy miyraslardıń kóshpes múlk obyektleri milliy dizimine kirgizilgen hám mámleket qáwipsizligine alınǵan .	ˈɯ . v . sɑvikˈkij ɑtɯndɑˈʁɯ qɑrɑqɑlpɑqsˈtɑn mæmleketˈlik kørˈkem øˈner muzeˈji ʒɑnɯnˈdɑ sklupˈtor bɑχtɯˈjɑr sɑjɯˈpov eskiˈzi bojɯnˈʃɑ ʃɑjɯrˈʁɑ ɑrnɑlˈʁɑn eskertˈkiʃ qojɯlˈdɯ . eskertˈkiʃ øzbeksˈtɑn respublikɑˈsɯ ministrˈler kɑbinetiˈniŋ qɑrɑˈrɯ meˈnen eˈki ˈmɯŋ ˈon toˈʁɯz ˈʒɯl ˈtørt oktjɑbrˈde mɑteriɑlˈlɯq mædeˈnij mijrɑslɑrˈdɯŋ køʃˈpes ˈmylk objektleˈri milˈlij dizimiˈne kirɡizilˈɡen ˈhæm mæmleˈket qæwipsizliɡiˈne ɑlɯnˈʁɑn .
Áyyemgi Gretsiyada Olimpiada oyınlarınıń payda bolıwı - Áyyemgi Olimpiada oyınları b.e.sh. 776-jılı payda boldı. Áyyemgi Gretsiyada Olimpiya oyınlarınıń payda bolıwı bul Gretsiyada Sparta hám Elida qalaları arasında paraxatshılıqtıń ornawı bolıp sport bayramı sıpatında payda boldı.	æjjemˈɡi ɡretsijɑˈdɑ olimpiɑˈdɑ ojɯnlɑrɯˈnɯŋ pɑjˈdɑ bolɯˈwɯ æjjemˈɡi olimpiɑˈdɑ ojɯnlɑˈrɯ biˈziŋ erɑmɯzˈʁɑ ʃeˈkem ʒeˈti ˈʒyz ʒetˈpis ɑlˈtɯ ʒɯˈlɯ pɑjˈdɑ bolˈdɯ . æjjemˈɡi ɡretsijɑˈdɑ olimpiˈjɑ ojɯnlɑrɯˈnɯŋ pɑjˈdɑ bolɯˈwɯ ˈbul ɡretsijɑˈdɑ spɑrˈtɑ ˈhæm eliˈdɑ qɑlɑlɑˈrɯ ɑrɑsɯnˈdɑ pɑrɑχɑtʃɯlɯqˈtɯŋ ornɑˈwɯ boˈlɯp sˈport bɑjrɑˈmɯ sɯpɑtɯnˈdɑ pɑjˈdɑ bolˈdɯ .
Vedalar shama menen b.e.sh. 600-1500 jıllar aralıǵında dúzildi. Olar diniy mazmunǵa iye, degen menen jámiyettiń ekonomikalıq rawajlanıwı hám sotsiallıq strukturası haqqında kóp maǵlıwmatlardı saqlaydı. Vedalar samxitler ózine tán tórt túrge bólinip jasaydı.	vedɑˈlɑr ʃɑˈmɑ meˈnen biˈziŋ erɑmɯzˈʁɑ ʃeˈkem ɑlˈtɯ ˈʒyz , ˈmɯŋ ˈbes ˈʒyz ʒɯlˈlɑr ɑrɑlɯʁɯnˈdɑ dyzilˈdi . oˈlɑr diˈnij mɑzmunˈʁɑ iˈje , deˈɡen meˈnen ʒæmijetˈtiŋ ekonomikɑˈlɯq rɑwɑʒlɑnɯˈwɯ ˈhæm sotsiɑlˈlɯq strukturɑˈsɯ hɑqqɯnˈdɑ ˈkøp mɑʁlɯwmɑtlɑrˈdɯ sɑqlɑjˈdɯ . vedɑˈlɑr sɑmχitˈler øziˈne ˈtæn ˈtørt tyrˈɡe bøliˈnip ʒɑsɑjˈdɯ .
Vedalıq ádebiyattıń ekinshi qatlamı bolıp Braxmanlar esaplanadı. Braxmannıń bas mazmunı — vedalıq rituallar menen praktikalıq basshılıq etiw, kultlıq praktika h.t.b. Olarda hesh qanday tutas diniy-filosofiyalıq sistemanı bizler taba almaymız, degen menen bir qatar túsinikler birinshi orında turadı.	vedɑˈlɯq ædebijɑtˈtɯŋ ekinˈʃi qɑtlɑˈmɯ boˈlɯp brɑχmɑnˈlɑr esɑplɑnɑˈdɯ . brɑχmɑnˈnɯŋ ˈbɑs mɑzmuˈnɯ vedɑˈlɯq rituɑlˈlɑr meˈnen prɑktikɑˈlɯq bɑsʃɯˈlɯq eˈtiw , kultˈlɯq prɑktiˈkɑ h . t . b . olɑrˈdɑ ˈheʃ qɑnˈdɑj tuˈtɑs diˈnij filosofijɑˈlɯq sistemɑˈnɯ bizˈler tɑˈbɑ ɑlmɑjˈmɯz , deˈɡen meˈnen ˈbir qɑˈtɑr tysinikˈler birinˈʃi orɯnˈdɑ turɑˈdɯ .
B.e.sh. I-shi mıńınshı jıllardıń ortasında İnonyada ideologiyadan ǵárezsiz jańa doktrinalar payda boldı. Olar adamnıń jámiyettegi ornı haqqında máselege jańasha qatnas jasawǵa umtıladı. Bulardıń ishinde Hindistan ushın áhmiyetli djaynizm hám buddizm boldı.	biˈziŋ erɑmɯzˈʁɑ ʃeˈkem ˈɯ ˈʃi mɯŋɯnˈʃɯ ʒɯllɑrˈdɯŋ ortɑsɯnˈdɑ inonjɑˈdɑ ideoloɡijɑˈdɑn ʁærezˈsiz ʒɑˈŋɑ doktrinɑˈlɑr pɑjˈdɑ bolˈdɯ . oˈlɑr ɑdɑmˈnɯŋ ʒæmijetteˈɡi orˈnɯ hɑqqɯnˈdɑ mæseleˈɡe ʒɑŋɑˈʃɑ qɑtˈnɑs ʒɑsɑwˈʁɑ umtɯlɑˈdɯ . bulɑrˈdɯŋ iʃinˈde hindisˈtɑn uˈʃɯn æhmijetˈli dʒɑjˈnizm ˈhæm budˈdizm bolˈdɯ .
Epictetus (b.e. 55 - shama menen 135 jılları)	epikteˈtus b . ˈe . eˈliw ˈbes ʃɑˈmɑ meˈnen ˈʒyz oˈtɯz ˈbes ʒɯllɑˈrɯ
Áwliye Patrick (shama menen b.e. 387-461 jılları)	æwliˈje pɑtˈrikk ʃɑˈmɑ meˈnen b . ˈe . ˈyʃ ˈʒyz sekˈsen ʒeˈti , ˈtørt ˈʒyz ɑlˈpɯs ˈbir ʒɯllɑˈrɯ
Publius Ovidius Naso (latınsha: Publius Ovidius Naso; B.e.sh. 43-jıl 20-mart — b.e. 17/18-jıl) — ádette, Ovidiy atı menen belgili — Avgust húkimdarlıǵı dáwirinde jasaǵan rimli shayır. Ol Vergiliy hám Goraciy menen bir qatarda latın ádebiyatınıń úsh eń úlken klassik shayırlarınıń biri esaplanadı.	publiˈus ovidiˈus nɑˈso lɑtɯnˈʃɑ , publiˈus ovidiˈus nɑˈso , biˈziŋ erɑmɯzˈʁɑ ʃeˈkem ˈqɯrq ˈyʃ ˈʒɯl ʒiɡirˈmɑ ˈmɑrt b . ˈe . ˈon ʒeˈti ˈon seˈɡiz ˈʒɯl ædetˈte , oviˈdij ɑˈtɯ meˈnen belɡiˈli ɑvˈɡust hykimdɑrlɯˈʁɯ dæwirinˈde ʒɑsɑˈʁɑn rimˈli ʃɑˈjɯr . ˈol verɡiˈlij ˈhæm ɡorɑˈkij meˈnen ˈbir qɑtɑrˈdɑ lɑˈtɯn ædebijɑtɯˈnɯŋ ˈyʃ ˈeŋ ylˈken klɑsˈsik ʃɑjɯrlɑrɯˈnɯŋ biˈri esɑplɑnɑˈdɯ .
1992-jıl — Nókis mámleketlik pedagogikalıq institutına shayırdıń atı berildi;	ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn eˈki ˈʒɯl nøˈkis mæmleketˈlik pedɑɡoɡikɑˈlɯq institutɯˈnɑ ʃɑjɯrˈdɯŋ ɑˈtɯ berilˈdi ,
2024-jılı shayırdıń 200 jıllıq yubileyi UNESCO tárepinen qabıl etilip, elimizde hám birqatar sırt ellerde qatar is-ilájlar alıp barıldı:	eˈki ˈmɯŋ ʒiɡirˈmɑ ˈtørt ʒɯˈlɯ ʃɑjɯrˈdɯŋ eˈki ˈʒyz ʒɯlˈlɯq jubileˈji unesˈko tærepiˈnen qɑˈbɯl etiˈlip , elimizˈde ˈhæm birqɑˈtɑr ˈsɯrt ellerˈde qɑˈtɑr ˈis ilæʒˈlɑr ɑˈlɯp bɑrɯlˈdɯ ,
Alisher Nawayı 1441-jılı, 9-fevralda sol dáwirdiń eń kórnekli qalalarınan bolǵan Xirat qalasında tuwıldı. Ákesi Ǵiyasatdin kishkene saray hámeldarlarınan biri bolǵan. Anası Temuriy shaxzadalardıń tárbiyashısı bolǵanı ushında jaslıǵınan baslap-aq shaxzada balaları menen birge tárbiyalanıp ósti.	ɑliˈʃer nɑwɑˈjɯ ˈmɯŋ ˈtørt ˈʒyz ˈqɯrq ˈbir ʒɯˈlɯ , toˈʁɯz fevrɑlˈdɑ ˈsol dæwirˈdiŋ ˈeŋ kørnekˈli qɑlɑlɑrɯˈnɑn bolˈʁɑn χiˈrɑt qɑlɑsɯnˈdɑ tuwɯlˈdɯ . ækeˈsi ʁijɑsɑtˈdin kiʃkeˈne sɑˈrɑj hæmeldɑrlɑrɯˈnɑn biˈri bolˈʁɑn . ɑnɑˈsɯ temuˈrij ʃɑχzɑdɑlɑrˈdɯŋ tærbijɑʃɯˈsɯ bolʁɑˈnɯ uʃɯnˈdɑ ʒɑslɯʁɯˈnɑn bɑsˈlɑp ˈɑq ʃɑχzɑˈdɑ bɑlɑlɑˈrɯ meˈnen birˈɡe tærbijɑlɑˈnɯp øsˈti .
Biraq bul dáwirlerde de Xorasan taxtı ushın bolǵan sawash jánjellerdiń izi úzilmeydi. 1459-jılı Xorasan taxtın iyelegeń Ábdisayıt mırza zalım hám reyimsiz bolıp shıǵadı. Bunnan keyin Nawayı ilajsız Samarqandqa ketiwge májbúr boladı. Ol Samarqandta kóp ǵana alımlar menen ushırasıp birneshe doslar arttırǵan. Sońınan 1469-jılı óziniń dostı Xusayn Bayqaranıń Xorasan taxtın iyelewine baylanıslı	biˈrɑq ˈbul dæwirlerˈde ˈde χorɑˈsɑn tɑχˈtɯ uˈʃɯn bolˈʁɑn sɑˈwɑʃ ʒænʒellerˈdiŋ iˈzi yzilmejˈdi . ˈmɯŋ ˈtørt ˈʒyz eˈliw toˈʁɯz ʒɯˈlɯ χorɑˈsɑn tɑχˈtɯn ijeleˈɡeŋ æbdisɑˈjɯt mɯrˈzɑ zɑˈlɯm ˈhæm rejimˈsiz boˈlɯp ʃɯʁɑˈdɯ . bunˈnɑn keˈjin nɑwɑˈjɯ ilɑʒˈsɯz sɑmɑrqɑndˈqɑ ketiwˈɡe mæʒˈbyr bolɑˈdɯ . ˈol sɑmɑrqɑndˈtɑ ˈkøp ʁɑˈnɑ ɑlɯmˈlɑr meˈnen uʃɯrɑˈsɯp birneˈʃe dosˈlɑr ɑrttɯrˈʁɑn . soŋɯˈnɑn ˈmɯŋ ˈtørt ˈʒyz ɑlˈpɯs toˈʁɯz ʒɯˈlɯ øziˈniŋ dosˈtɯ χuˈsɑjn bɑjqɑrɑˈnɯŋ χorɑˈsɑn tɑχˈtɯn ijelewiˈne bɑjlɑnɯsˈlɯ
