Wikipedia Afrika-kan wɛrɛw minu tɛ carinen baw ye	wikipedia afrika kã wɛrɛw minu tɛ t͡ʃarinẽ baw je
- a be fɔ ko an tun be bataya de la, an ka mɔkɔ fɔlɔ min nu yɛ aw ban aw ba la, a fɔ raw ma ko ban ma la, sabu ba = ma.	a be fɔ ko ã tũ be bataja de la , ã ka mɔkɔ fɔlɔ mĩ nu jɛ aw bã aw ba la , a fɔ raw ma ko bã ma la , sabu ba ma .
- A bɛ fɔ fana, ko kumbi mansaw tun bɛ mara la tuma min na, sosokan min nu y'w ban aw ma maraka mansaw ka mara ma, a fɔ r'w ma ko ban ma na, sabu ma = mansa.	a bɛ fɔ fana , ko kũbi mãsaw tũ bɛ mara la tuma mĩ na , sosokã mĩ nu j w bã aw ma maraka mãsaw ka mara ma , a fɔ r w ma ko bã ma na , sabu ma mãsa .
Takabolo caman bɛ antropologila, minu nafakabo kosɛbɛ oluye sociologikalanso mi bɛ fransikawfɛ ye (Emile Durkheim, Marcel Mauss, Claude Levi-Strauss), anthropologie mibɛ jɛkukuwkan Anglew fɛ ye (J.G. Frazer), Bronislaw Malinoski, A.R. Radcliffe-Brown, E.E. Evans-Pritchard, a ni anthropologie mibɛ kokɛtiokoyawkan Amerikawfɛ ye (L.H. Morgan, Franz Boas, Marvin Harris, Clifford Geertz).	takabolo t͡ʃamã bɛ ãtropoloɡila , minu nafakabo kosɛbɛ oluje sot͡ʃioloɡikalãso mi bɛ frãsikawfɛ je emile durkheĩ , mart͡ʃel mauss , t͡ʃlaude levi strauss , ãthropoloɡie mibɛ d͡ʒɛkukuwkã ãɡlew fɛ je d͡ʒɡ . frazer , bronislaw malinoski , ar . radt͡ʃliffe brown , ee . evãs pritt͡ʃhard , a ni ãthropoloɡie mibɛ kokɛtiokojawkã amerikawfɛ je lh . morɡã , frãz boas , marvĩ harris , t͡ʃlifford ɡeertz .
A.R.P. (Association pour le Renouveau Patriotique) ye jekulu ye min ɲeshinnen fasoden ɲumaya lakurayali ma. A.R.P. bangera Marsikalo tle 26 san 2008. A.R.P. jɛkuludenw be taa mɔgɔ 30 hakɛya la.	arp assot͡ʃiatiõ pour le renouveau patriotikue je d͡ʒekulu je mĩ ɲeʃĩnẽ fasodẽ ɲumaja lakurajali ma . arp bãɡera marsikalo tle muɡã ni wɔɔrɔ sã ba fila ni seɡĩ . arp d͡ʒɛkuludẽw be taa mɔɡɔ bisaba hakɛja la .
Ashoka walima Ashoka the Great (304 K.Ɲ. fo san 232 K.Ɲ.) tun ye Ɛndu masakɛ ye. Ale tun ye Maurya Mansamara masakɛ sabanan ye. A jate bɛ Kɛ Ɛnduw ka tariku faamaba ye fo ka na Se bì ma.	aʃoka walima aʃoka the ɡreat kɛmɛ saba ni naani krisita ɲɛ fo sã kɛmɛ fila ni bisaba ni fila krisita ɲɛ tũ je ɛ̃du masakɛ je . ale tũ je maurja mãsamara masakɛ sabanã je . a d͡ʒate bɛ kɛ ɛ̃duw ka tariku faamaba je fo ka na se bi ma .
A ka masaya daminɛna san 269 K.Ɲ. ka se san 232 K.Ɲ., Ɛndu kɔrɔlen na. Mansamara Ashoka ka mansamara tun bɛ bi Ɛndujamana, Pakistan, Afganistan, Nepal ani Bangaladeshi jamana fanba la. O Maurya Mansamara belebele in kɛra Ɛndu mansamara belebeleba ye kabini o waati fo ka na se bi ma.	a ka masaja daminɛna sã kɛmɛ fila ni biwɔɔrɔ ni kɔnɔ̃tɔ̃ krisita ɲɛ ka se sã kɛmɛ fila ni bisaba ni fila krisita ɲɛ , ɛ̃du kɔrɔlẽ na . mãsamara aʃoka ka mãsamara tũ bɛ bi ɛ̃dud͡ʒamana , pakistã , afɡanistã , nepal ani bãɡaladeʃi d͡ʒamana fãba la . o maurja mãsamara belebele ĩ kɛra ɛ̃du mãsamara belebeleba je kabini o waati fo ka na se bi ma .
San 1943 Nowanburukalo la, N. M. Elizarov ni B. V. Semin ye milimɛtɛrɛ 7,62 cɛmancɛ-kariti kura dilancogo ja ni a ɲɛfɔcogo ci jɛkuluw bɛɛ ma minnu sen bɛ marifako kura labɛnni na. O waati la, a ka kalifa tun ye milimɛtɛrɛ 7,62x41 ye, nka o kɔfɛ, a labɛnna kokura, wa a nafa ka bon kosɛbɛ, o waati la, karitɔn jiginna ka kɛ milimɛtɛrɛ 7,62x39 ye.	sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni saba nowãburukalo la , n . m . elizarov ni b . v . semĩ je milimɛtɛrɛ wolõwula wɔɔrɔ fila t͡ʃɛmãt͡ʃɛ kariti kura dilãt͡ʃoɡo d͡ʒa ni a ɲɛfɔt͡ʃoɡo t͡ʃi d͡ʒɛkuluw bɛɛ ma mĩnu sẽ bɛ marifako kura labɛ̃ni na . o waati la , a ka kalifa tũ je milimɛtɛrɛ wolõwula , biwɔɔrɔ ni fila z binaani ni kelẽ je , ŋka o kɔfɛ , a labɛ̃na kokura , wa a nafa ka bõ kosɛbɛ , o waati la , karitɔ̃ d͡ʒiɡĩna ka kɛ milimɛtɛrɛ wolõwula , biwɔɔrɔ ni fila z bisaba ni kɔnɔ̃tɔ̃ je .
Mali sɛra k'a ka dambe mara an'a ko kɛcogo kabini lawalɛ.Ala ni an ka jeliw sababu (griots) munu yu kabara kɛ fo kan an ka lada lakilɛ, en jeli kɔrɔba mi ku bɛ san 1994 fo 2003.	mali sɛra ka ka dãbe mara ã a ko kɛt͡ʃoɡo kabini lawalɛ . ala ni ã ka d͡ʒeliw sababu ɡriots munu ju kabara kɛ fo kã ã ka lada lakilɛ , ẽ d͡ʒeli kɔrɔba mi ku bɛ sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni naani fo ba fila ni saba .
San 2021 mɔgɔ 3 000 000 dɛ tun sigin len bɛ Mali faba kɔnɔ. An bɛ yoro mi nan farafina be kono Bamakɔ fanga wili tɔgɔ ka bɔ ni bɛɛ ta ye. wa dumia kɔnɔ a bɛ la wɔrɔ dugu la dɛ la singɛ munu la	sã ba fila ni muɡã ni kelẽ mɔɡɔ milijɔ̃ saba dɛ tũ siɡĩ lẽ bɛ mali faba kɔnɔ . ã bɛ joro mi nã farafina be kono bamakɔ fãɡa wili tɔɡɔ ka bɔ ni bɛɛ ta je . wa dumia kɔnɔ a bɛ la wɔrɔ duɡu la dɛ la sĩɡɛ munu la
San mille huit cent quatre vingt cinq, a bɛ kɛ Haut Sénégal-Niger o lu ka faaba octobre kalo kilɛ tan ni saba san mille huit cent quatre vingt neuf (17 octobre 1899) a bɛ kila kana kɛ soudan français san mille neuf cent vingt. san mille neuf cent deux ni san mille neuf cent sept tiɛ Koulouba palais diɔra, o kuma la gouverneur dɛ ku bɛ o fɛ yɛrɛta nanɛ, an ka dimana miɛmɔgɔ nana yɛlema a kɔnɔ.	sã mille huit t͡ʃẽt kuatre vĩɡt t͡ʃĩk , a bɛ kɛ haut seneɡal niɡer o lu ka faaba ot͡ʃtobre kalo kilɛ tã ni saba sã mille huit t͡ʃẽt kuatre vĩɡt neuf tã ni wolõwula ot͡ʃtobre ba kelẽ ni kɛmɛ seɡĩ ni bikɔnɔ̃tɔ̃ ni kɔnɔ̃tɔ̃ a bɛ kila kana kɛ soudã frãt͡ʃais sã mille neuf t͡ʃẽt vĩɡt . sã mille neuf t͡ʃẽt deuks ni sã mille neuf t͡ʃẽt sept tiɛ koulouba palais diɔra , o kuma la ɡouverneur dɛ ku bɛ o fɛ jɛrɛta nanɛ , ã ka dimana miɛmɔɡɔ nana jɛlema a kɔnɔ .
Bamakɔ dɔkɔtɔrɔso baw mi bɛ kati nu ba wɛlɛ point G diɔra san 1906 ni 1913 bonai yɛ hectare mugan ni duru yɛ. Sordaci u ka dɔkɔtɔrɔso dɛ ku do ya ni yɛrɛta kuma.	bamakɔ dɔkɔtɔrɔso baw mi bɛ kati nu ba wɛlɛ poĩt ɡ diɔra sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni wɔɔrɔ ni ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni saba bonai jɛ het͡ʃtare muɡã ni duru jɛ . sordat͡ʃi u ka dɔkɔtɔrɔso dɛ ku do ja ni jɛrɛta kuma .
Salif Keïta, footballeur, a lɛ Ballon d'or africain san 1970	salif keita , footballeur , a lɛ ballõ dor afrit͡ʃaĩ sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula
Mali jamana boɲa ye 1.231.238 Bm2 (bamɛtri kɛnɛ) a ka bon nin a lamunu jamanaw ye n'a bɔra Nijer ani Aljeri la.	mali d͡ʒamana boɲa je milijɔ̃ kelẽ ni ba kɛmɛ fila ni bisaba ni kelẽ ni kɛmɛ fila ni bisaba ni seɡĩ bm fila bamɛtri kɛnɛ a ka bõ nĩ a lamunu d͡ʒamanaw je na bɔra nid͡ʒer ani ald͡ʒeri la .
Kati ye Mali ka dugu ye. A ane Bamako cɛ kilometiri 15. Dugumogo be taa 114.983(san 2009) jon yooro. Kati bi sòro mara filana la (Kulikoro ka mara).	kati je mali ka duɡu je . a ane bamako t͡ʃɛ kilometiri tã ni duuru . duɡumoɡo be taa ba kɛmɛ ni tã ni naani ni kɛmɛ kɔnɔ̃tɔ̃ ni biseɡĩ ni saba sã ba fila ni kɔnɔ̃tɔ̃ d͡ʒõ jooro . kati bi soro mara filana la kulikoro ka mara .
Le mali jamana bonia ye 1.231.238 km² wa a ka bow ni an dafɛdugu mi nu bɛ an farina kilɛyanfa fɛ ni niger bɔra yɛ.	le mali d͡ʒamana bonia je kilomɛtɛrɛ kɛnɛ milijɔ̃ kelẽ ni ba kɛmɛ fila ni bisaba ni kelẽ ni kɛmɛ fila ni bisaba ni seɡĩ wa a ka bow ni ã dafɛduɡu mi nu bɛ ã farina kilɛjãfa fɛ ni niɡer bɔra jɛ .
Uetersen (ˈyːtɐzən) ye Alimaɲi ka dugu ye. A ane Hamburg cɛ kilometiri 30. Dugumogo be taa 17.800 jon yooro. Uetersen bi sòro mara filana la Schleswig-Holstein.	uetersẽ j tzẽ je alimaɲi ka duɡu je . a ane hãburɡ t͡ʃɛ kilometiri bisaba . duɡumoɡo be taa ba tã ni wolõwula ni kɛmɛ seɡĩ d͡ʒõ jooro . uetersẽ bi soro mara filana la st͡ʃhleswiɡ holsteĩ .
Don tɛ wele don na. Ce farin caman tɛmɛna. Nin kɛra Kumi. Kolokani mara la Bɛlɛdugu kɔnɔ k'a ta san 1914, ka t'a bila san 1916. Tulobilenw tile la, kɛlɛmasa dɔ tun bɛ yen min tɔgɔ ye ko Jose Tarawele. A tun ka farin, o ye farinye dan ye.	dõ tɛ wele dõ na . t͡ʃe farĩ t͡ʃamã tɛmɛna . nĩ kɛra kumi . kolokani mara la bɛlɛduɡu kɔnɔ ka ta sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni naani , ka ta bila sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni tã ni wɔɔrɔ . tulobilẽw tile la , kɛlɛmasa dɔ tũ bɛ jẽ mĩ tɔɡɔ je ko d͡ʒose tarawele . a tũ ka farĩ , o je fariɲe dã je .
Kulikɔrɔ ye Mali ka dugu ye. A be Jeliba dala. A ni Bamako cɛ ye bamɛtɛrɛ 60. Dugu koroba don. A donnen kosobɛ ni a bada sanuma ye min bɛ sɛgɛrɛ funankɛniw fɛ tilema wati.	kulikɔrɔ je mali ka duɡu je . a be d͡ʒeliba dala . a ni bamako t͡ʃɛ je bamɛtɛrɛ biwɔɔrɔ . duɡu koroba dõ . a dõnẽ kosobɛ ni a bada sanuma je mĩ bɛ sɛɡɛrɛ funãkɛniw fɛ tilema wati .
Yefugeya in kera gɛlɛya ye Salif Keita ma aka kabila kɔnɔ min ya to a y'a wolodugu bla ka taa Bamako san 1967. Yen, a donna fanga ka fɔlikulu min tɔgɔ Bamakɔ Super Rail Band. San 1973, a donna "Lasigidenw" fɔlikulu la. Politikiko gerentɛ ya to Salif ani Lasigidenw bɔra ka taa Abijan san 1970 kɔnɔna.	jefuɡeja ĩ kera ɡɛlɛja je salif keita ma aka kabila kɔnɔ mĩ ja to a ja woloduɡu bla ka taa bamako sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni wolõwula . jẽ , a dõna fãɡa ka fɔlikulu mĩ tɔɡɔ bamakɔ super rail bãd . sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni saba , a dõna lasiɡidẽw fɔlikulu la . politikiko ɡerẽtɛ ja to salif ani lasiɡidẽw bɔra ka taa abid͡ʒã sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula kɔnɔna .
7000 km plus loin (2005) kilomɛtɛrɛ ba 7 kɔ fɛ	kilomɛtɛrɛ ba wolõwula plus loĩ ba fila ni duuru kilomɛtɛrɛ ba wolõwula kɔ fɛ
A boɳa bɛ 241 038 km2 (bametri kɛnɛ) jukɔrɔ a jamanaden jate ye mɔgɔ 41 487 965 (2016).	a boɲa bɛ kilomɛtɛrɛ kɛnɛ ba kɛmɛ fila ni binaani ni kelẽ ni bisaba ni seɡĩ bametri kɛnɛ d͡ʒukɔrɔ a d͡ʒamanadẽ d͡ʒate je mɔɡɔ milijɔ̃ binaani ni kelẽ ni ba kɛmɛ naani ni biseɡĩ ni wolõwula ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni duuru ba fila ni tã ni wɔɔrɔ .
Aisand madɔnnen Aisland ka Fasojamana ye gun jamana ye min sigilen Saheli Atlantik Geji ni Eropa gerekanna ani Grinland cɛla. A jamanaden ye mɔgɔ 332 529, dugukolo boɲa ye bamɛtri/Kilomɛtri kɛnɛ 103 000 km2. A faaba an'a duguw labebele ye Rekiavik ye.	aisãd madɔ̃nẽ aislãd ka fasod͡ʒamana je ɡũ d͡ʒamana je mĩ siɡilẽ saheli atlãtik ɡed͡ʒi ni eropa ɡerekãna ani ɡrĩlãd t͡ʃɛla . a d͡ʒamanadẽ je mɔɡɔ ba kɛmɛ saba ni bisaba ni fila ni kɛmɛ duuru ni muɡã ni kɔnɔ̃tɔ̃ , duɡukolo boɲa je bamɛtri kilomɛtri kɛnɛ kilomɛtɛrɛ kɛnɛ ba kɛmɛ ni saba . a faaba ã a duɡuw labebele je rekiavik je .
Nikaragwa, madonnen Nikaragwa ka Fasojamana, Espanyikan: República de Nicaragua, ye waseden ‎bejefanga fasojamana ye. A jatelen Cema Amerika jamanaw la bonba ye ni fensen 13000 Km2 (bametri ‎kene) masuruyala Engiltra boya. A faaba ye Managwa.‎	nikaraɡwa , madõnẽ nikaraɡwa ka fasod͡ʒamana , espaɲikã , republit͡ʃa de nit͡ʃaraɡua , je wasedẽ bed͡ʒefãɡa fasod͡ʒamana je . a d͡ʒatelẽ t͡ʃema amerika d͡ʒamanaw la bõba je ni fẽsẽ kilomɛtɛrɛ kɛnɛ ba tã ni saba bametri kene masurujala ẽɡiltra boja . a faaba je manaɡwa .
A ka bo dɔni ni 4000 km2 (bametri wanani kɛnɛ). A jamanadenw jatelen mɔgɔ 5000000 sanfɛ. Kap Verdi faaba ye Praya. Kɔrɔlen jigun in tun ma sigi mɔgɔ fɛ, f'a nara lakodɔn ani ka mara Portigiziw fɛ 15an (kɛmɛda tannidurunan), kasɔrɔ k'a yɛrɛta kabɔ Portigal bolo san 1975.	a ka bo dɔni ni kilomɛtɛrɛ kɛnɛ ba naani bametri wanani kɛnɛ . a d͡ʒamanadẽw d͡ʒatelẽ mɔɡɔ milijɔ̃ duuru sãfɛ . kap verdi faaba je praja . kɔrɔlẽ d͡ʒiɡũ ĩ tũ ma siɡi mɔɡɔ fɛ , fa nara lakodɔ̃ ani ka mara portiɡiziw fɛ tã ni duuru ã kɛmɛda tãnidurunã , kasɔrɔ ka jɛrɛta kabɔ portiɡal bolo sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni duuru .
Jatropha curcas (Bamanan tɔgɔ bàgàni) ye falenfen ye min bɛ labaara ka kɛ taji ye Filipin ka kɛɲɛ ni shariya min sɛbɛnan Miriam Defensor-Santiago fɛ ani Migel Zubiri. Bagani taji bɛka sankɔrɔta ka subu kɛ a sɛnɛli nɔgɔya ye proje caman senfɛ India ani jamana yiriwata wɛrɛw la. Nɛgɛsira Mumbia ani Delhi furancɛ sɛnɛlen ni bagani ye min bɛ kɛ ka sisikulu latama 15-20% hakɛ.	d͡ʒatropha t͡ʃurt͡ʃas bamanã tɔɡɔ baɡani je falẽfẽ je mĩ bɛ labaara ka kɛ tad͡ʒi je filipĩ ka kɛɲɛ ni ʃarija mĩ sɛbɛnã miriã defẽsor sãtiaɡo fɛ ani miɡel zubiri . baɡani tad͡ʒi bɛka sãkɔrɔta ka subu kɛ a sɛnɛli nɔɡɔja je prod͡ʒe t͡ʃamã sẽfɛ ĩdia ani d͡ʒamana jiriwata wɛrɛw la . nɛɡɛsira mũbia ani delhi furãt͡ʃɛ sɛnɛlẽ ni baɡani je mĩ bɛ kɛ ka sisikulu latama tã ni duuru fo muɡã kɛmɛsarada hakɛ .
El-Hadj Umar ibn Sa’id Tal, (san 1797 – 1864) tun ye Tlebi Afrika marakɛla, Silameya mɔgɔkalannen ani Tukulor mansa ye min ye mansamara sintin o tun bɛ kafolikɛ bii Gine fan caman na, Senegal, ani Mali. Jona, a ye kawantili daminɛ ani sɛbɛnni ka kɛnyɛ ni sigi tɲɔniw ani Cɛla-Atlantik jon jago.	el hadd͡ʒ umar ibn sa id tal , sã ba kelẽ ni kɛmɛ wolõwula ni bikɔnɔ̃tɔ̃ ni wolõwula fo ba kelẽ ni kɛmɛ seɡĩ ni biwɔɔrɔ ni naani tũ je tlebi afrika marakɛla , silameja mɔɡɔkalãnẽ ani tukulor mãsa je mĩ je mãsamara sĩtĩ o tũ bɛ kafolikɛ bii ɡine fã t͡ʃamã na , seneɡal , ani mali . d͡ʒona , a je kawãtili daminɛ ani sɛbɛ̃ni ka kɛɲɛ ni siɡi tɲɔniw ani t͡ʃɛla atlãtik d͡ʒõ d͡ʒaɡo .
Sounsa Coulibaly dɛ yɛ Sounsana dugu sigi san (1633-1650)o ku Segou bambara. Sounsa ku yɛ Niangolo dɔkɔni dɛ yɛ, o lu fila dɔla kɛlɛ dɛ yɛ bambaras ka massaya sigi. U dɛw Massa Coulibaly dɛ yɛ massassi u ka massaya sigi san mille sept cent dis ka san mille neuf cent quarante sept (1710-1745) là a bɛ dɔ fara kaarta bonia kan.	soũsa t͡ʃoulibalj dɛ jɛ soũsana duɡu siɡi sã ba kelẽ ni kɛmɛ wɔɔrɔ ni bisaba ni saba fo ba kelẽ ni kɛmɛ wɔɔrɔ ni biduuru o ku seɡou bãbara . soũsa ku jɛ niãɡolo dɔkɔni dɛ jɛ , o lu fila dɔla kɛlɛ dɛ jɛ bãbaras ka massaja siɡi . u dɛw massa t͡ʃoulibalj dɛ jɛ massassi u ka massaja siɡi sã mille sept t͡ʃẽt dis ka sã mille neuf t͡ʃẽt kuarãte sept ba kelẽ ni kɛmɛ wolõwula ni tã fo ba kelẽ ni kɛmɛ wolõwula ni binaani ni duuru la a bɛ dɔ fara kaarta bonia kã .
Lakafolen mara shegin na, Mali ka saheli dan taalen Sahara cɛma, tumamin jamanaden fanba sigilen dugu woroduguyafan, ba fla cɛla, Joliba ani ramata jakite. Jamana sɔrɔko jɔlan koloma ye sɛnɛ, beganmara(Baganmara ani mɔni. Mali dugujukɔrɔ nafolo ye sanu, uranium, kɔgɔ o na ɲwannaw. Mali jatelen mantow lafanta dɔ ye dunia kɔnɔ·	lakafolẽ mara ʃeɡĩ na , mali ka saheli dã taalẽ sahara t͡ʃɛma , tumamĩ d͡ʒamanadẽ fãba siɡilẽ duɡu woroduɡujafã , ba fla t͡ʃɛla , d͡ʒoliba ani ramata d͡ʒakite . d͡ʒamana sɔrɔko d͡ʒɔlã koloma je sɛnɛ , beɡãmara baɡãmara ani mɔni . mali duɡud͡ʒukɔrɔ nafolo je sanu , uraniũ , kɔɡɔ o na ɲwãnaw . mali d͡ʒatelẽ mãtow lafãta dɔ je dunia kɔnɔ
Bamako faaba kila nɛ dɔ ni ki woro dɛ yɛ. ni o niɛmogo tɔgɔ IBRAHIMA N’DIAYE ni ɔ ba fɔ ɔ ma maire	bamako faaba kila nɛ dɔ ni ki woro dɛ jɛ . ni o niɛmoɡo tɔɡɔ ibrahima n diaje ni ɔ ba fɔ ɔ ma maire
Bamakɔ sigi lɛ bɛ baw bɛ niger ba dɛ kan (fleuve Niger).Pont fila dɛ bɛw Bamakɔ dugu tugu niɔgɔna ni o pont tɔgɔ pont dɛs Martyrs a ni pont roi Fahd d'Arabie séoudite.pony dɛs martyrs tɔgɔ da lɛw do mɔgɔ munu sara san millɛ neuf cɛnt quatrɛ vingt douz là. pont roi Fahd d'Arabie séoudite ka u roi dɔw dɛ law. Nga pont dɔ gilan labin sigilɛw do ni o bi na kɛ sotuba.	bamakɔ siɡi lɛ bɛ baw bɛ niɡer ba dɛ kã fleuve niɡer . põt fila dɛ bɛw bamakɔ duɡu tuɡu niɔɡɔna ni o põt tɔɡɔ põt dɛs martjrs a ni põt roi fahd darabie seoudite . poɲ dɛs martjrs tɔɡɔ da lɛw do mɔɡɔ munu sara sã millɛ neuf t͡ʃɛ̃t kuatrɛ vĩɡt douz la . põt roi fahd darabie seoudite ka u roi dɔw dɛ law . ŋɡa põt dɔ ɡilã labĩ siɡilɛw do ni o bi na kɛ sotuba .
