ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
— بۇ شېئىرنى لى بەي 20 ياشقا كىرمىگەندەك يازغان. دەيتيەنشەن(يەنە بىر ئىسمى داكاڭشەن) تېشى جىڭجۇ چاڭلۇڭ ناھىيەسىنىڭ غەربىدە بولۇپ، لى بەي تاغدىكى دامىڭ ئىبادەتخانىسىدا ئۇقۇغان.	bu ʃeʔirni li bɛj jiɡirmɛ jɑʃqɑ kirmiɡɛndɛk jɑzʁɑn . dɛjtjɛnʃɛn jɛnɛ bir ʔismi dɑkɑŋʃɛn teʃi d͡ʒiŋd͡ʒu t͡ʃɑŋluŋ nɑhijɛsiniŋ ʁɛrbidɛ bolup , li bɛj tɑʁdiki dɑmiŋ ʔibɑdɛtχɑnisidɑ ʔuquʁɑn .
ئاشۇ كۈنى ئۇ تاغىسىغا بۇغداي تارتىشتا ياردەم بېرىۋاتاتتى. تاغىسى چوڭ بىر فېرمىنى باشقۇراتتى، فېرمىدا نەچچە يۈزلەپ قارا تەنلىك ئىشچىلار ياشايتتى. تۈگمەننىڭ ئىشىكى ئېچىلدى. كىچىككىنە بىر قىزچاق كىرىپ، بوسۇغىدا توختاپ قالدى.	ʔɑʃu kyni ʔu tɑʁisiʁɑ buʁdɑj tɑrtiʃtɑ jɑrdɛm beriwɑtɑtti . tɑʁisi t͡ʃoŋ bir permini bɑʃqurɑtti , permidɑ nɛt͡ʃt͡ʃɛ jyzlɛp qɑrɑ tɛnlik ʔiʃt͡ʃilɑr jɑʃɑjtti . tyɡmɛnniŋ ʔiʃiki ʔet͡ʃildi . kit͡ʃikkinɛ bir qizt͡ʃɑq kirip , bosuʁidɑ toχtɑp qɑldi .
مۇدىر بۇ بىر جۈپ بوۋاي-موماينىڭ ئۇچىسىدىكى ئەرزان پۇللۇق كىيىملىرىگە ئىنچىكىلىك بىلەن بىرقۇر سەپسىلىۋەتكەندىن كېيىن، چىرايىنى پۈرۈشتۈرگىنىچە:	mudir bu bir d͡ʒyp bowɑj momɑjniŋ ʔut͡ʃisidiki ʔɛrzɑn pulluq kijimliriɡɛ ʔint͡ʃikilik bilɛn birqur sɛpsiliwɛtkɛndin kejin , t͡ʃirɑjini pyryʃtyrɡinit͡ʃɛ
* كۈنتەرتىپ، قاتناش ۋە خامچوت ئامىللىرىنى ئۆز ئىچىگە ئالغان مۇكەممەل ساياھەت مۇساپىسىنى پىلانلاش؛	kyntɛrtip , qɑtnɑʃ wɛ χɑmt͡ʃot ʔɑmillirini ʔøz ʔit͡ʃiɡɛ ʔɑlʁɑn mukɛmmɛl sɑjɑhɛt musɑpisini pilɑnlɑʃ ,
سۆزلەرنىڭ ئۈستىدە چاتقاللىققا كېتىسەن. قورام تاشلارغا يېقىنلىشىسەن - دە، ئەينەكلەرگە ئايلىنىدۇ. شەبنەم ئېرىقلارغا، چېكىتلەر قۇشقاچلارغا، پەشلەر كېپىنەكلەرگە ۋە سانلار دەرەخلەرگە ئايلىنىدۇ.	søzlɛrniŋ ʔystidɛ t͡ʃɑtqɑlliqqɑ ketisɛn . qorɑm tɑʃlɑrʁɑ jeqinliʃisɛn dɛ , ʔɛjnɛklɛrɡɛ ʔɑjlinidu . ʃɛbnɛm ʔeriqlɑrʁɑ , t͡ʃekitlɛr quʃqɑt͡ʃlɑrʁɑ , pɛʃlɛr kepinɛklɛrɡɛ wɛ sɑnlɑr dɛrɛχlɛrɡɛ ʔɑjlinidu .
__ ئۆيۈڭگە ئاۋارىچىلىق ئېلىپ كەلدىم ئۇكام، بىر نەچچە كۈن قېشىڭدا تۇرۇۋالاي…- سەمەتنىڭ تاماكىدىن بىكار بولمايدىغان ئېغىزىدىكى پاپىرۇس تىترەپ چۈشۈپ كەتكىلى تاس قالدى.	ʔøjyŋɡɛ ʔɑwɑrit͡ʃiliq ʔelip kɛldim ʔukɑm , bir nɛt͡ʃt͡ʃɛ kyn qeʃiŋdɑ turuwɑlɑj , sɛmɛtniŋ tɑmɑkidin bikɑr bolmɑjdiʁɑn ʔeʁizidiki pɑpirus titrɛp t͡ʃyʃyp kɛtkili tɑs qɑldi .
— قانداق پۇرسەت يوق، كۈندە كۆرۈشۈپ تۇرىدىغانسىلەر؟ ئايغا چىقىپ كەتمىگەندۇ ئۇ باشلىقىڭ؟	qɑndɑq pursɛt joq , kyndɛ køryʃyp turidiʁɑnsilɛr ? ʔɑjʁɑ t͡ʃiqip kɛtmiɡɛndu ʔu bɑʃliqiŋ ?
ماشىنىدىن چۈشكەن بىر ئادەم ماشىنىسىنى ئەتكەندىن كېيىن بىزنى كۆرمەستىن، بىزگە قاراپ ماڭدى ۋە جانان پەسكە تاشلىۋەتكەن تاماكا قالدۇقىغا باشقىلارنى ئېزىدىغانلاردەك ئاڭسىز ھالدا دەسسىۋەتكەندىن كېيىن، ”ئىقبال مېھمانخانىسى“ غا كىردى.	mɑʃinidin t͡ʃyʃkɛn bir ʔɑdɛm mɑʃinisini ʔɛtkɛndin kejin bizni kørmɛstin , bizɡɛ qɑrɑp mɑŋdi wɛ d͡ʒɑnɑn pɛskɛ tɑʃliwɛtkɛn tɑmɑkɑ qɑlduqiʁɑ bɑʃqilɑrni ʔezidiʁɑnlɑrdɛk ʔɑŋsiz hɑldɑ dɛssiwɛtkɛndin kejin , ʔiqbɑl mehmɑnχɑnisi ʁɑ kirdi .
خاراب جىمجىتلىقلارنى بۇزۇش ئۈچۈن ئۇ شۇنىڭغا ئوخشايدىغان بىر نەرسىلەرنى دەيتتى، ئەمما مەن ھەر قانچە قىلىپ بۇ دەردمەن، قاملاشقان ئادەمنىڭ گېپىنى بېرىلىپ ئاڭلىيالمايۋاتاتتىم.	χɑrɑp d͡ʒimd͡ʒitliqlɑrni buzuʃ ʔyt͡ʃyn ʔu ʃuniŋʁɑ ʔoχʃɑjdiʁɑn bir nɛrsilɛrni dɛjtti , ʔɛmmɑ mɛn hɛr qɑnt͡ʃɛ qilip bu dɛrdmɛn , qɑmlɑʃqɑn ʔɑdɛmniŋ ɡepini berilip ʔɑŋlijɑlmɑjwɑtɑttim .
ــــ ئەخمەق، ئاۋۋال توي خېتى ئالىسەن، ئاندىن ئۆي كېنىشكىسىغا ئىسمىڭنى يازدۇرىسەن، ئۇ قېرى ئۆلگەندە ئۆي ساڭا قالىدۇ. بۇنىڭ ئۈچۈن، ئۇ ئۆلمەستىن ئاۋۋال ۋەسىيەتنامە ئېلىۋالىسەن، بۇنى قانۇن ئېتىراپ قىلىدۇ. ئاندىن ئۇنىڭ خوتۇن-بالىسى بۇ مۈلكۈڭگە ھەرگىز چېقىلالمايدۇ.	ʔɛχmɛq , ʔɑwwɑl toj χeti ʔɑlisɛn , ʔɑndin ʔøj keniʃkisiʁɑ ʔismiŋni jɑzdurisɛn , ʔu qeri ʔølɡɛndɛ ʔøj sɑŋɑ qɑlidu . buniŋ ʔyt͡ʃyn , ʔu ʔølmɛstin ʔɑwwɑl wɛsijɛtnɑmɛ ʔeliwɑlisɛn , buni qɑnun ʔetirɑp qilidu . ʔɑndin ʔuniŋ χotun bɑlisi bu mylkyŋɡɛ hɛrɡiz t͡ʃeqilɑlmɑjdu .
ئۇ تولا ئىككىلەندى، بىر ياقتا ئويۇن-تاماشا، بىر ياقتا ناماز؛ بىر ياقتا راھەت ۋە مەيلىخۇشلۇق. بىر ياقتا مۇشەققەت ۋە ئىنتىزام…	ʔu tolɑ ʔikkilɛndi , bir jɑqtɑ ʔojun tɑmɑʃɑ , bir jɑqtɑ nɑmɑz , bir jɑqtɑ rɑhɛt wɛ mɛjliχuʃluq . bir jɑqtɑ muʃɛqqɛt wɛ ʔintizɑm ,
مەركىزىي مىللەتلەر ئۇنىۋېرسىتېتىدا پۈتۈن ئاز سانلىق مىللەتلەر يىغىلغان. ئۇيغۇلارنىڭ پىكىر قىلىش ئۇسۇلى، پسىخىك ئالاھىدىلىكى ۋە مەدەنىيەت جەھەتتە باشقا مىللەتلەر بىلەن بولغان پەرقىنى مەركىزى مىللەتلەر ئۇنىۋېرسىتېتىدا ئادەم بەكمۇ ياخشى ھېس قىلالايدۇ. بۇمۇ مۇھىم سەۋەبلەرنىڭ بىرى.	mɛrkizij millɛtlɛr ʔuniwersitetidɑ pytyn ʔɑz sɑnliq millɛtlɛr jiʁilʁɑn . ʔujʁulɑrniŋ pikir qiliʃ ʔusuli , psiχik ʔɑlɑhidiliki wɛ mɛdɛnijɛt d͡ʒɛhɛttɛ bɑʃqɑ millɛtlɛr bilɛn bolʁɑn pɛrqini mɛrkizi millɛtlɛr ʔuniwersitetidɑ ʔɑdɛm bɛkmu jɑχʃi hes qilɑlɑjdu . bumu muhim sɛwɛblɛrniŋ biri .
− ھەي سولتەك يالماۋۇز، سەن تازىمۇ كور نېمە ئىكەنسەن ! سەن مېنى كىچىك چاغلىساڭ يوغىناشنىمۇ بىلىمەن. قورالىم بولمىغىنى بىلەن قولۇمنى ئۇزارتساملا ئاسماندىكى ئايغىمۇ يېتىدۇ. بۇ ياققا كېلىپ، مۇشتۇمۇمنى بىر تېتىپ كۆرگىن ! − دېدى - دە، ئېتىلىپ بارغانچە ئۇنىڭغا غەزەپ بىلەن مۇشت ئاتتى.	hɛj soltɛk jɑlmɑwuz , sɛn tɑzimu kor nemɛ ʔikɛnsɛn ! sɛn meni kit͡ʃik t͡ʃɑʁlisɑŋ joʁinɑʃnimu bilimɛn . qorɑlim bolmiʁini bilɛn qolumni ʔuzɑrtsɑmlɑ ʔɑsmɑndiki ʔɑjʁimu jetidu . bu jɑqqɑ kelip , muʃtumumni bir tetip kørɡin ! dedi dɛ , ʔetilip bɑrʁɑnt͡ʃɛ ʔuniŋʁɑ ʁɛzɛp bilɛn muʃt ʔɑtti .
− بۇ مايمۇنەك يەنە مېنى كولدۇرلىتىۋېتىپتۇ - دە ! مەن بۇتخانا كەينىگە تۇغ تىكلەنگەنلىكىنى ئەزەلدىن كۆرۈپ باقمىغانىدىم. بۇ شۇ مايمۇننىڭ ھىيلىسى بولماي نېمە؟ ئۇ مېنى ئالداپ بۇتخانىغا كىرگۈزۈۋالسا، كاپلا قىلىپ چىشلىۋالىدۇ. ھىم، مەن ئالدىنىپ كىرەتتىممۇ؟ خەپ توختاپ تۇر، مۇشتۇمۇم بىلەن روجەكلىرىڭنى چېقىپ، ئىشىكىڭنى تېپىپ ئۆرۈۋەتمىسەم، − دېدى.	bu mɑjmunɛk jɛnɛ meni koldurlitiwetiptu dɛ ! mɛn butχɑnɑ kɛjniɡɛ tuʁ tiklɛnɡɛnlikini ʔɛzɛldin køryp bɑqmiʁɑnidim . bu ʃu mɑjmunniŋ hijlisi bolmɑj nemɛ ? ʔu meni ʔɑldɑp butχɑniʁɑ kirɡyzywɑlsɑ , kɑplɑ qilip t͡ʃiʃliwɑlidu . him , mɛn ʔɑldinip kirɛttimmu ? χɛp toχtɑp tur , muʃtumum bilɛn rod͡ʒɛkliriŋni t͡ʃeqip , ʔiʃikiŋni tepip ʔørywɛtmisɛm , dedi .
− باشتا خې جىننىڭ سىڭلىسىنى مەن ئەتىۋارلاپ مەرتىۋە بەرگەنىدىم. ھازىر ئۇنىڭ ئوغلى خان تەختىگە چىقىۋالدى، ھەرەمنىڭ ئىچى ۋە سىرتىدىكى ۋەزىر، بەگ - سىپاھلارنىڭ ھەممىسى شۇنىڭ ئىشەنچلىك كىشىلىرى. ئۇنىڭ ئابرۇيى، ھوقۇقى ناھايىتى چوڭ، ئەمدى قانداق قىلغۇلۇق؟ − دەپ مەسلىھەت سورىدى.	bɑʃtɑ χe d͡ʒinniŋ siŋlisini mɛn ʔɛtiwɑrlɑp mɛrtiwɛ bɛrɡɛnidim . hɑzir ʔuniŋ ʔoʁli χɑn tɛχtiɡɛ t͡ʃiqiwɑldi , hɛrɛmniŋ ʔit͡ʃi wɛ sirtidiki wɛzir , bɛk sipɑhlɑrniŋ hɛmmisi ʃuniŋ ʔiʃɛnt͡ʃlik kiʃiliri . ʔuniŋ ʔɑbruji , hoquqi nɑhɑjiti t͡ʃoŋ , ʔɛmdi qɑndɑq qilʁuluq ? dɛp mɛslihɛt soridi .
[1] دوتسېنت دوكتور ئاتائۇللاھ شاھيارنىڭ بېغىشلىمىسى، مەنبە: مۇھەممەد يۈسۈپ، قۇرئان كەرىم ئۇيغۇرچە تەرجىمىسى، ئىككىنچى نەشرى، 665 - بەت.	bir dotsent doktor ʔɑtɑʔullɑh ʃɑhjɑrniŋ beʁiʃlimisi , mɛnbɛ muhɛmmɛt jysyp , qurʔɑn kɛrim ʔujʁurt͡ʃɛ tɛrd͡ʒimisi , ʔikkint͡ʃi nɛʃri , ʔɑltɛ jyz ʔɑtmiʃ bɛʃint͡ʃi bɛt .
پەيغەمبەر ئېيتتى: شۇنداق كۈنلەرگە دۇچار بولىسىلەركى، بارچە ئۈممەت سىلەرگە قارشى خۇددى غىزا ئۇسۇلغان لېگەن ئەتراپىغا ئولاشقان تائاملانغۇچىلاردەك يوپۇرۇلۇپ كېلىشىدۇ. بۇ سۆزگە سامى بولۇپ تۇرغان ساھابىلەردىن بىرى سورىدى:	pɛjʁɛmbɛr ʔejtti ʃundɑq kynlɛrɡɛ dut͡ʃɑr bolisilɛrki , bɑrt͡ʃɛ ʔymmɛt silɛrɡɛ qɑrʃi χuddi ʁizɑ ʔusulʁɑn leɡɛn ʔɛtrɑpiʁɑ ʔolɑʃqɑn tɑʔɑmlɑnʁut͡ʃilɑrdɛk jopurulup keliʃidu . bu søzɡɛ sɑmi bolup turʁɑn sɑhɑbilɛrdin biri soridi
* ئۇ يەنە «ئېۋكېلدنىڭ كىتابىدىكى قىيىن مەسىلىلەرگە شەرھ» ناملىق بىر كىتاب يازغان.	ʔu jɛnɛ ʔewkeldniŋ kitɑbidiki qijin mɛsililɛrɡɛ ʃɛrh nɑmliq bir kitɑp jɑzʁɑn .
كېيىنكى كۈنلەردە شەمس تەبرىزى ھەققىدە ئىگىلىگەن بەزى مەلۇماتلىرىم روماندىكىسى بىلەن ئاساسەن ئوخشاش چىقتى. ئەمما ئۆلۈمى ئېنىق ئەمەسكەن. روماندا شەمس	kejinki kynlɛrdɛ ʃɛms tɛbrizi hɛqqidɛ ʔiɡiliɡɛn bɛzi mɛlumɑtlirim romɑndikisi bilɛn ʔɑsɑsɛn ʔoχʃɑʃ t͡ʃiqti . ʔɛmmɑ ʔølymi ʔeniq ʔɛmɛskɛn . romɑndɑ ʃɛms
ئىبنى ئابباس رەزىيەللاھۇ ئەنھۇما مۇنداق دېگەن: «بىر ئادەم رەسۇلۇللاھ سەللەللاھۇ ئەلەيھى ۋەسەللەمنىڭ ئالدىغا كېلىپ:	ʔibni ʔɑbbɑs rɛzijɛllɑhu ʔɛnhumɑ mundɑq deɡɛn bir ʔɑdɛm rɛsulullɑh sɛllɛllɑhu ʔɛlɛjhi wɛsɛllɛmniŋ ʔɑldiʁɑ kelip
ھەزرىتى ئابدۇللاھ ئىبنى ئەمر رەزىيەللاھۇ ئەنھۇما بالىلىرىنى توپلاپ مۇنداق دۇئا قىلغان: «اللَّهُمَّ إِنِّي أَسْأَلُكَ بِرَحْمَتِكَ الَّتِي وَسِعَتْ كُلَّ شَيْءٍ أَنْ تَغْفِرَ لِي (ئى ئاللاھ! سېنىڭ ھەممە نەرسىنى قاپلىغان كەڭ رەھمىتىڭ بىلەن مېنىڭ گۇناھلىرىمنى مەغپىرەت قىلىشىڭنى سورايمەن!)»(«ئىبنى ماجە»، 1753. ھافىز ئىبنى ھەجەر: «ھەسەن» دېگەن)	hɛzriti ʔɑbdullɑh ʔibni ʔɛmr rɛzijɛllɑhu ʔɛnhumɑ bɑlilirini toplɑp mundɑq duʔɑ qilʁɑn ɑllhm nj slk brhmtk ɑltj osʔt kl ʃj n tʁpr lj ʔi ʔɑllɑh ! seniŋ hɛmmɛ nɛrsini qɑpliʁɑn kɛŋ rɛhmitiŋ bilɛn meniŋ ɡunɑhlirimni mɛʁpirɛt qiliʃiŋni sorɑjmɛn ! ʔibni mɑd͡ʒɛ , miŋ jɛttɛ jyz ʔɛllik ʔyt͡ʃ . hɑpiz ʔibni hɛd͡ʒɛr hɛsɛn deɡɛn
زەرەپشان دەرياسى«ئەمەس،»يەكەن دەرياسى« يەر ناملىرىنى توغرا ئاتاشنىڭ ئىستراتېگىيەلىك ئەھمىيىتى	zɛrɛpʃɑn dɛrjɑsi ʔɛmɛs , jɛkɛn dɛrjɑsi jɛr nɑmlirini toʁrɑ ʔɑtɑʃniŋ ʔistrɑteɡijɛlik ʔɛhmijiti
-ھە... شۇنداقمۇ بوپتۇ دەيلى ماقۇل، لېكىن سىلى بۇ بالىنى نېمىشقا ئۆيگە ئېلىپ كەلدىلە؟ خىياللىرىدا «بۇنى بېقىۋالايلى» دېمەيدىغانلا ھە؟- دەپ سورىدى مېھرىيار ئاغىچا خېنىم تەججۈپلىك كۆزلىرىنى ئېرىدىن ئۈزمەي.	hɛ . ʃundɑqmu boptu dɛjli mɑqul , lekin sili bu bɑlini nemiʃqɑ ʔøjɡɛ ʔelip kɛldilɛ ? χijɑlliridɑ buni beqiwɑlɑjli demɛjdiʁɑnlɑ hɛ ? dɛp soridi mehrijɑr ʔɑʁit͡ʃɑ χenim tɛd͡ʒd͡ʒyplik køzlirini ʔeridin ʔyzmɛj .
(9) شىركەتنىڭ مەبلەغ ئازايتىش، قوشۇۋېتىش، ئايرىش، تارقىتىۋېتىش ۋە ۋەيران بولۇشنى ئىلتىماس قىلىش قارارى؛	toqquz ʃirkɛtniŋ mɛblɛʁ ʔɑzɑjtiʃ , qoʃuwetiʃ , ʔɑjriʃ , tɑrqitiwetiʃ wɛ wɛjrɑn boluʃni ʔiltimɑs qiliʃ qɑrɑri ,
لوپ ناھىيىسى مۆتىدىل بەلۋاغ قۇرغاق ئىقلىم رايونىغا كىرىدۇ. يىللىق ئوتتۇرىچە تېمپېراتۇرىسى 12.1℃، ئەڭ يۇقىرى تېمپېراتۇرىسى 40.6℃، ئەڭ تۆۋەن تېمپېراتۇرىسى - 21.6℃. كۈننىڭ يىللىق ئوتتۇرىچە چۈشۈش ۋاقتى 2790 سائەت. 10℃ يىغىندا تېمپېراتۇرىسى 4360.9℃، قىروسىز مەزگىلى 210 كۈن. يىللىق ئوتتۇرىچە ھۆل - يېغىن مىقدارى 34.8 مىللىمېتىر. سۇنىڭ يىللىق ئوتتۇرىچە پارغا ئايلىنىش مىقدارى 2602 مىللىمېتىر.	lop nɑhijisi møtidil bɛlwɑʁ qurʁɑq ʔiqlim rɑjoniʁɑ kiridu . jilliq ʔotturit͡ʃɛ temperɑturisi ʔon ʔikki bir ɡrɑdus , ʔɛŋ juqiri temperɑturisi qiriq ʔɑltɛ ɡrɑdus , ʔɛŋ tøwɛn temperɑturisi minus jiɡirmɛ bir ʔɑltɛ ɡrɑdus . kynniŋ jilliq ʔotturit͡ʃɛ t͡ʃyʃyʃ wɑqti ʔikki miŋ jɛttɛ jyz toqsɑn sɑʔɛt . ʔon ɡrɑdus jiʁindɑ temperɑturisi tøt miŋ ʔyt͡ʃ jyz ʔɑtmiʃ toqquz ɡrɑdus , qirosiz mɛzɡili ʔikki jyz ʔon kyn . jilliq ʔotturit͡ʃɛ høl jeʁin miqdɑri ʔottuz tøt sɛkkiz millimetir . suniŋ jilliq ʔotturit͡ʃɛ pɑrʁɑ ʔɑjliniʃ miqdɑri ʔikki miŋ ʔɑltɛ jyz ʔikki millimetir .
1949- يىلى 10-ئاينىڭ 1-كۈنى، بېيجىڭ تيەنئەنمېن مەيدانىدا دۆلەت قۇرۇش مۇراسىمى ئۆتكۈزۈلگەن، ماۋ زېدۇڭ تيەنئەنمېن راۋىقىدا جۇڭخۇا خەلق جۇمھۇرىيىتىنىڭ قۇرۇلغانلىقىنى جاكالاپ مەركىزىي خەلق ھۆكۈمىتى قۇرۇلغان، جۇڭخۇا خەلق جۇمھۇرىيىتى رەسمىي قۇرۇلغان.	miŋ toqquz jyz qiriq toqquzint͡ʃi jili ʔonint͡ʃi ʔɑjniŋ birint͡ʃi kyni , bejd͡ʒiŋ tjɛnʔɛnmen mɛjdɑnidɑ dølɛt quruʃ murɑsimi ʔøtkyzylɡɛn , mɑw zeduŋ tjɛnʔɛnmen rɑwiqidɑ d͡ʒuŋχuɑ χɛlq d͡ʒumhurijitiniŋ qurulʁɑnliqini d͡ʒɑkɑlɑp mɛrkizij χɛlq høkymiti qurulʁɑn , d͡ʒuŋχuɑ χɛlq d͡ʒumhurijiti rɛsmij qurulʁɑn .
يېڭى جۇڭگو قۇرۇلغاندىن كېيىن، ئىقتىسادنى ئەسلىگە كەلتۈرۈش ۋە قۇرۇش قانات يايدۇرۇلۇپ،1953- يىلدىن باشلاپ، ئۈچ چوڭ ئۆزگەرتىش ئېلىپ بېرىلىپ، 1956- يىلى سوتسىيالىستىك تۈزۈمنى ئورنىتىپ، سوتسىيالىزىم ئۈستىدە ئىزدىنىش باسقۇچىغا كىرگەن. مەدەنىيەت زور ئىنقىلابىدىن كېيىن، ئىسلاھات، ئېچىۋېتىش ئېلىپ بېرىلىپ، تەدرىجىي جۇڭگوچە سوتسىيالىستىك تۈزۈم ئورنىتىلغان.	jeŋi d͡ʒuŋɡo qurulʁɑndin kejin , ʔiqtisɑdni ʔɛsliɡɛ kɛltyryʃ wɛ quruʃ qɑnɑt jɑjdurulup , miŋ toqquz jyz ʔɛllik ʔyt͡ʃint͡ʃi jildin bɑʃlɑp , ʔyt͡ʃ t͡ʃoŋ ʔøzɡɛrtiʃ ʔelip berilip , miŋ toqquz jyz ʔɛllik ʔɑltint͡ʃi jili sotsijɑlistik tyzymni ʔornitip , sotsijɑlizim ʔystidɛ ʔizdiniʃ bɑsqut͡ʃiʁɑ kirɡɛn . mɛdɛnijɛt zor ʔinqilɑbidin kejin , ʔislɑhɑt , ʔet͡ʃiwetiʃ ʔelip berilip , tɛdrid͡ʒij d͡ʒuŋɡot͡ʃɛ sotsijɑlistik tyzym ʔornitilʁɑn .
يەر بايلىقى: تاغلىق رايون 3 مىليون 200 مىڭ كۋادرات كىلومېتىر كېلىدۇ، ئېگىزلىك 2 مىليون 500 مىڭ كۋادرات كىلومېتىر كېلىدۇ، ئويمانلىقى بىر مىليون 800 مىڭ كۋادرات كىلومېتىر، تۈزلەڭلىك 1 مىليون 150 مىڭ كۋادرات كىلومېتىر، ئېدىرلىق مىڭ 500 كۋادرات كىلومېتىر كېلىدۇ (1997).	jɛr bɑjliqi tɑʁliq rɑjon ʔyt͡ʃ miljon ʔikki jyz miŋ kwɑdrɑt kilometir kelidu , ʔeɡizlik ʔikki miljon bɛʃ jyz miŋ kwɑdrɑt kilometir kelidu , ʔojmɑnliqi bir miljon sɛkkiz jyz miŋ kwɑdrɑt kilometir , tyzlɛŋlik bir miljon jyz ʔɛllik miŋ kwɑdrɑt kilometir , ʔedirliq miŋ bɛʃ jyz kwɑdrɑt kilometir kelidu miŋ toqquz jyz toqsɑn jɛttɛ .
قۇرۇقلۇق يەر كۆلىمى 960 مىڭ كۋادرات كىلومېتىر كېلىدۇ، دۇنيا قۇرۇقلۇق ئومۇمىي كۆلىمىنىڭ تەخمىنەن 1/15 نى ئىگىلەيدۇ، سەل سوۋېت ئىتتىپاقىدىن باشقا ياۋروپا ئەللىرىنىڭ كۆلىمىگە تەڭ، رۇسىيە (17،075،000 كۋادرات كىلومېتىر)، كانادا (9،971،000كۋادرات كىلومېتىر) دىن قالسا، دۇنيا بويىچە ئۈچىنچى ئورۇندا تۇرىدۇ. شەرقىي رايونلارنىڭ %10.5، ئوتتۇرا رايونلارنىڭ %25.3، غەربىي رايوننىڭ %64.2 نى ئىگىلەيدۇ.	quruqluq jɛr kølimi toqquz jyz ʔɑtmiʃ miŋ kwɑdrɑt kilometir kelidu , dunjɑ quruqluq ʔomumij køliminiŋ tɛχminɛn bir ʔon bɛʃ ni ʔiɡilɛjdu , sɛl sowet ʔittipɑqidin bɑʃqɑ jɑwropɑ ʔɛlliriniŋ kølimiɡɛ tɛŋ , rusijɛ ʔon jɛttɛ miljon jɛtmiʃ bɛʃ miŋ kwɑdrɑt kilometir , kɑnɑdɑ toqquz miljon toqquz jyz jɛtmiʃ bir miŋ kwɑdrɑt kilometir din qɑlsɑ , dunjɑ bojit͡ʃɛ ʔyt͡ʃint͡ʃi ʔorundɑ turidu . ʃɛrqij rɑjonlɑrniŋ ʔon bɛʃ pirsɛnt , ʔotturɑ rɑjonlɑrniŋ jiɡirmɛ bɛʃ ʔyt͡ʃ pirsɛnt , ʁɛrbij rɑjonniŋ ʔɑtmiʃ tøt ʔikki pirsɛntni ʔiɡilɛjdu .
ۋۇخەن شەھىرى بولسا جۇڭگو خۇبېي ئۆلكىسى دىكىبىخاھار 2007 نوپۇس بار، ۋۇخەننىڭ 9،700،000 نوپۇسىبار، 1،145.6 كم² دائىرائىقىدا نوپۇس جايلاخكان، خىمالىكاڭ لىك 29.58°، خارىكى ئۇزۇنلۇك 113°53، پوقتانومۇرى 430000 - 430400 رايۇننومۇرى +86/27.	wuχɛn ʃɛhiri bolsɑ d͡ʒuŋɡo χubej ʔølkisi dikibiχɑhɑr ʔikki miŋ jɛttɛ nopus bɑr , wuχɛnniŋ toqquz miljon jɛttɛ jyz miŋ nopusibɑr , miŋ jyz qiriq bɛʃ ʔɑltɛ kwɑdrɑt kilometir dɑʔirɑʔiqidɑ nopus d͡ʒɑjlɑχkɑn , χimɑlikɑŋ lik jiɡirmɛ toqquz ʔɛllik sɛkkiz ɡrɑdus , χɑriki ʔuzunluk jyz ʔon ʔyt͡ʃ ɡrɑdus ʔɛllik ʔyt͡ʃ , poqtɑnomuri tøt jyz ʔottuz miŋ tøt jyz ʔottuz miŋ tøt jyz rɑjunnomuri sɛksɛn ʔɑltɛ jiɡirmɛ jɛttɛ .
چاڭشا شەھىر بولسا جۇڭگو خۇنەن ئۆلكىسى دىكىبىخاھار 2000 نوپۇس بار، چاڭشانىڭ 6،138،719 نوپۇسىبار، 519.4 كم² دائىرائىقىدا نوپۇس جايلاخكان، خىمالىكاڭ لىك 28.11°، خارىكى ئۇزۇنلۇك 58°20، پوقتانومۇرى 410000 رايۇننومۇرى +86/731.	t͡ʃɑŋʃɑ ʃɛhir bolsɑ d͡ʒuŋɡo χunɛn ʔølkisi dikibiχɑhɑr ʔikki miŋ nopus bɑr , t͡ʃɑŋʃɑniŋ ʔɑltɛ miljon jyz ʔottuz sɛkkiz miŋ jɛttɛ jyz ʔon toqquz nopusibɑr , bɛʃ jyz ʔon toqquz tøt kwɑdrɑt kilometir dɑʔirɑʔiqidɑ nopus d͡ʒɑjlɑχkɑn , χimɑlikɑŋ lik jiɡirmɛ sɛkkiz ʔon bir ɡrɑdus , χɑriki ʔuzunluk ʔɛllik sɛkkiz ɡrɑdus jiɡirmɛ , poqtɑnomuri tøt jyz ʔon miŋ rɑjunnomuri sɛksɛn ʔɑltɛ jɛttɛ jyz ʔottuz bir .
