He kūlanakauhale ʻo Hilo (nūatīawa ʻōlelo pelekane) — ma ka mokupuni ʻo Hawaiʻi.	he kuːlanakauhale ʔo hilo nuːakiːawa ʔoːlelo pelekane ma ka mokupuni ʔo hawaiʔi .
He 3,849,674 mau mile kuea (9,970,610 kilomika kuea) ka ‘ili ‘o Kanakā. ‘O ‘Amelika a me Greenland nā aupuni kokoke loa iā Kanakā (Natural Geographic 2026). He ‘elima ‘ano ‘āina nui loa ma Kanakā: ka nakilinaka, taika, nahele, ‘āina mau‘u, a me nā nahele ho‘ohui. Akā, o ke ‘ano ‘āina nui loa ka taika (Climate Change Knowledge Portal 2026).	he ʔekolu miliona ʔewalu haneli kanahaːkuːmaːiwa kaukani ʔeono haneli kanahikukuːmaːhaː mau mile kuea ʔeiwa miliona ʔeiwa haneli kanahiku kaukani ʔeono haneli ʔumi kilomika kuea ka ʔili ʔo kanakaː . ʔo ʔamelika a me kleenlank naː aupuni kokoke loa iaː kanakaː nakulal keoklaphik ʔelua kaukani iwakaːluakuːmaːono . he ʔelima ʔano ʔaːina nui loa ma kanakaː , ka nakilinaka , kaika , nahele , ʔaːina mauʔu , a me naː nahele hoʔohui . akaː , o ke ʔano ʔaːina nui loa ka kaika klimake khanke knowlekke polkal ʔelua kaukani iwakaːluakuːmaːono .
Nui nā aniau ‘oko‘a ma Kanakā, akā ka hapa nui ‘o Kanakā he wahi anuana, a o ke aniau nui ‘o Kanakā, ka aniau lalo wēlau (Climate Change Knowledge Portal 2026). ʻO kahi i anuanu loa no ka makahiki holo‘oko‘a ‘o Eureka, Nunavut. ‘O ka wela ma‘amau no Eureka, Nunavut, o -19.7˚C i -19.9˚C ai ‘ole 38.4˚F	nui naː aniau ʔokoʔa ma kanakaː , akaː ka hapa nui ʔo kanakaː he wahi anuana , a o ke aniau nui ʔo kanakaː , ka aniau lalo weːlau klimake khanke knowlekke polkal ʔelua kaukani iwakaːluakuːmaːono . ʔo kahi i anuanu loa no ka makahiki holoʔokoʔa ʔo euleka , nunawuk . ʔo ka wela maʔamau no euleka , nunawuk , o ʔumikuːmaːiwa ʔehiku keːkeleː k i ʔumikuːmaːiwa ʔeiwa keːkeleː k ai ʔole kanakolukuːmaːwalu ʔehaː keːkeleː p
Ma ka huakaʻi ma Palika, kākau ʻo ia i kona mau mele kaulana; ʻo ia hoʻi, ka sonata no ka piano ma A minor, K. 310/300d, ma 1778; a me ka Symphony "Palika" (no. 31), hoʻokani ʻia ma Palika ma nā lā 12 a me 18 Iune, 1778.	ma ka huakaʔi ma palika , kaːkau ʔo ia i kona mau mele kaulana , ʔo ia hoʔi , ka konaka no ka piano ma a minol , k . ʔekolu haneli ʔumi ʔekolu haneli k , ma hoʔokahi kaukani ʔehiku haneli kanahikukuːmaːwalu , a me ka kimphoni palika no . kanakolukuːmaːkahi , hoʔokani ʔia ma palika ma naː laː ʔumikuːmaːlua a me ʔumikuːmaːwalu iune , hoʔokahi kaukani ʔehiku haneli kanahikukuːmaːwalu .
ʻO nā helu piha nā hua helu kumu me ka helu 0 (1, 2, 3, ...) a me nā helu piha ʻiʻo ʻole (0, -1, -2, -3, ...). Nā laʻana: he mau helu piha nā helu 65, 7, a me -756; ʻaʻole nā helu 1.6 a me 1½ he mau helu piha.	ʔo naː helu piha naː hua helu kumu me ka helu ʔole ʔekahi , ʔelua , ʔekolu . a me naː helu piha ʔiʔo ʔole ʔole , ʔekahi , ʔelua , ʔekolu . naː laʔana , he mau helu piha naː helu kanaonokuːmaːlima , ʔehiku , a me ʔehiku haneli kanalimakuːmaːono , ʔaʔole naː helu ʔekahi ʔeono a me ʔekahi ʔekahi ʔelua he mau helu piha .
KīʻNekelana: 14 (1991, 1993, 1994, 1997, 2003, 2012, 2013, 2014, 2015, 2015/16, 2016, 2018, 2021, 2022)	kiːʔnekelana , ʔumikuːmaːhaː hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːkahi , hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːkolu , hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhaː , hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːhiku , ʔelua kaukani ʔekolu , ʔelua kaukani ʔumikuːmaːlua , ʔelua kaukani ʔumikuːmaːkolu , ʔelua kaukani ʔumikuːmaːhaː , ʔelua kaukani ʔumikuːmaːlima , ʔelua kaukani ʔumikuːmaːlima ʔumikuːmaːono , ʔelua kaukani ʔumikuːmaːono , ʔelua kaukani ʔumikuːmaːwalu , ʔelua kaukani iwakaːluakuːmaːkahi , ʔelua kaukani iwakaːluakuːmaːlua
SKY PerfectTV! ʻO ka lawelawe premium (inoa mua: SKY PerfecTV! ) - 124/128 degere hikina longitude CS hoʻolaha kikohoʻe ( hoʻolaha maʻamau ) paepae	kki pelpekkkw ! ʔo ka lawelawe plemium inoa mua , kki pelpekkw ! hoʔokahi haneli iwakaːluakuːmaːhaː hoʔokahi haneli iwakaːluakuːmaːwalu kekele hikina lonkikuke kk hoʔolaha kikohoʔe hoʔolaha maʔamau paepae
1966/1967 - Hoʻokomo ʻia ka Hōʻike e Winona Beamer	hoʔokahi kaukani ʔeiwa haneli kanaonokuːmaːono hoʔokahi kaukani ʔeiwa haneli kanaonokuːmaːhiku hoʔokomo ʔia ka hoːʔike e winona peamel
ʻO ka MENEHUNE (he kamepiula HP 2115A) ka mea hoʻopili ma waena o ke kamepiula nui IBM 360/65 a me nā kahua lekiō. He 16-bit ka nui o kāna huaʻōlelo, he 2 microseconds ka manawa hoʻokō, a he 8K-word ka nui o kona waihona.	ʔo ka menehune he kamepiula hp ʔelua kaukani hoʔokahi haneli ʔumikuːmaːlima a ka mea hoʔopili ma waena o ke kamepiula nui ipm ʔekolu haneli kanaono kanaonokuːmaːlima a me naː kahua lekioː . he ʔumikuːmaːono pik ka nui o kaːna huaʔoːlelo , he ʔelua miklokekonkk ka manawa hoʔokoː , a he ʔewalu kwolk ka nui o kona waihona .
Ua hoʻokipa maikaʻi loa ʻia ke kiʻi ʻoniʻoni e nā mea loiloi. Ma Rotten Tomatoes, loaʻa i ke kiʻi ʻoniʻoni he 100% ma luna o nā loiloi he 252, me ka helu waena 8.6/10. ʻO ia ke kiʻi ʻoniʻoni i loiloi nui ʻia loa me ka helu hoʻokipa 100% ma ka pūnaewele. Ma Metacritic, loaʻa i ke kiʻi ʻoniʻoni ka helu 88 mai ka 100, ma luna o nā loiloi he 44.	ua hoʔokipa maikaʔi loa ʔia ke kiʔi ʔoniʔoni e naː mea loiloi . ma lokken komakoek , loaʔa i ke kiʔi ʔoniʔoni he hoʔokahi haneli paːkeːneka ma luna o naː loiloi he ʔelua haneli kanalimakuːmaːlua , me ka helu waena ʔewalu ʔeono ʔumi . ʔo ia ke kiʔi ʔoniʔoni i loiloi nui ʔia loa me ka helu hoʔokipa hoʔokahi haneli paːkeːneka ma ka puːnaewele . ma mekaklikik , loaʔa i ke kiʔi ʔoniʔoni ka helu kanawalukuːmaːwalu mai ka hoʔokahi haneli , ma luna o naː loiloi he kanahaːkuːmaːhaː .
bar:1800 at: 832700 text: 0.83 shift:(0)	pal , hoʔokahi kaukani ʔewalu haneli ak , ʔewalu haneli kanakolukuːmaːlua kaukani ʔehiku haneli kekk , ʔole kanawalukuːmaːkolu khipk , ʔole
bar:1820 at: 1177500 text: 1.18 shift:(0)	pal , hoʔokahi kaukani ʔewalu haneli iwakaːlua ak , hoʔokahi miliona hoʔokahi haneli kanahikukuːmaːhiku kaukani ʔelima haneli kekk , ʔekahi ʔumikuːmaːwalu khipk , ʔole
bar:1840 at: 1445600 text: 1.45 shift:(0)	pal , hoʔokahi kaukani ʔewalu haneli kanahaː ak , hoʔokahi miliona ʔehaː haneli kanahaːkuːmaːlima kaukani ʔeono haneli kekk , ʔekahi kanahaːkuːmaːlima khipk , ʔole
bar:1860 at: 1746700 text: 1.75 shift:(0)	pal , hoʔokahi kaukani ʔewalu haneli kanaono ak , hoʔokahi miliona ʔehiku haneli kanahaːkuːmaːono kaukani ʔehiku haneli kekk , ʔekahi kanahikukuːmaːlima khipk , ʔole
bar:1880 at: 2060800 text: 2.06 shift:(0)	pal , hoʔokahi kaukani ʔewalu haneli kanawalu ak , ʔelua miliona kanaono kaukani ʔewalu haneli kekk , ʔelua ʔeono khipk , ʔole
bar:1900 at: 2655900 text: 2.66 shift:(0)	pal , hoʔokahi kaukani ʔeiwa haneli ak , ʔelua miliona ʔeono haneli kanalimakuːmaːlima kaukani ʔeiwa haneli kekk , ʔelua kanaonokuːmaːono khipk , ʔole
bar:1920 at: 3147600 text: 3.15 shift:(0)	pal , hoʔokahi kaukani ʔeiwa haneli iwakaːlua ak , ʔekolu miliona hoʔokahi haneli kanahaːkuːmaːhiku kaukani ʔeono haneli kekk , ʔekolu ʔumikuːmaːlima khipk , ʔole
bar:1940 at: 3695617 text: 3.70 shift:(0)	pal , hoʔokahi kaukani ʔeiwa haneli kanahaː ak , ʔekolu miliona ʔeono haneli kanaiwakuːmaːlima kaukani ʔeono haneli ʔumikuːmaːhiku kekk , ʔekolu kanahiku khipk , ʔole
Nui nā ‘ano mo‘omeheu ‘oko‘a ma Kanakā, e like me ka Palani, Pelekāne, e‘e moku, a me ‘ōiwi. 20% o nā kānaka ma Kanakā ‘a‘ole i hānau ma Kanakā, no laila nui nā kānaka e‘e moku ke noho nei ma‘o. ‘O ka hapa nui o nā kānaka e‘e moku ma Kanakā, he mau kānaka ‘Eulopa, akā ke ulu nei ka nui o nā kānaka mai nā wahi ʻē aʻe (Wikipedia 2026).	nui naː ʔano moʔomeheu ʔokoʔa ma kanakaː , e like me ka palani , pelekaːne , eʔe moku , a me ʔoːiwi . iwakaːlua paːkeːneka o naː kaːnaka ma kanakaː ʔaʔole i haːnau ma kanakaː , no laila nui naː kaːnaka eʔe moku ke noho nei maʔo . ʔo ka hapa nui o naː kaːnaka eʔe moku ma kanakaː , he mau kaːnaka ʔeulopa , akaː ke ulu nei ka nui o naː kaːnaka mai naː wahi ʔeː aʔe wikipekia ʔelua kaukani iwakaːluakuːmaːono .
ʻAlekelia meānaka mai kela iaʻu ka hakakā, ka makahiki ma 22% mea paʻakikī i ka helu mea kahi, lepiamaiani mea hoʻohana ʻaʻohe mea 778km mea hoʻohana ʻaʻohe ka hakakā inā hoʻohana kiʻi i ke akua e pono e kahi au i ka hakakā inā he mea hoʻohana.	ʔalekelia meaːnaka mai kela iaʔu ka hakakaː , ka makahiki ma iwakaːluakuːmaːlua paːkeːneka mea paʔakikiː i ka helu mea kahi , lepiamaiani mea hoʔohana ʔaʔohe mea ʔehiku haneli kanahikukuːmaːwalu kilomika mea hoʔohana ʔaʔohe ka hakakaː inaː hoʔohana kiʔi i ke akua e pono e kahi au i ka hakakaː inaː he mea hoʔohana .
