# Khmer exceptions lexicon — word → canonical IPA for the RULE-UNPREDICTABLE residual (inherent-vowel length,
# internal-doubling, Pali/Sanskrit loanword vowels). Consumed dict-first by the shipped phonemizeWord ONLY;
# phonemizeWordRules (the referee-eval signal) never reads it, so the eval stays non-circular.
# Source: wikipron khm_khmr broad (human, from Wiktionary — CC-BY-SA 3.0), modal transcription per word,
# canonicalised (breve→plain, short-low a→ɑ, optional medial ʔ dropped). Generated by tools/gen/build-km-lexicon.mts.
កក្កដា	kɑkɑɗaː
ស្រេច	srɑc
ស្រោតា	sraoɗaː
ស្រៈ	srɑʔ
ស្លាំង	slɑŋ
ស្លូវេនី	slouʋeiniː
ស្លេស្ម	slaeh
ស្វទេស	sʋɑteih
ស្វរៈ	sʋɑrɑʔ
ស្វស្តិក	sʋɑhstekɑʔ
ស្វស្តិកៈ	sʋɑhstekɑʔ
ស្វាគមន៍	sʋaːkum
ស្វាស៊ីឡង់	sʋaːsiːlɑŋ
ស្វាហៈ	sʋaːhɑʔ
ស្វីស	sʋiːh
ស្វ័យ	sʋaj
ស្វ័យសត្យ	sʋajsɑt
ហត្ថលេខា	hɑttʰɑleikʰaː
ហនុមាន	hɑnumaːn
ហយពល	hɑjeəpuəl
ហយៈ	hɑjeəʔ
ហរិត	hɑrɨt
ហសាភិប្រាយ	hɑsaːpʰipraːj
ហស្ត	hoəh
ហហ្មុក	hɑmok
ហឫទ័យ	hɑrɨtɨj
ហានិយភ័យ	haːniːpʰɨj
ហានុកា	haːnukaː
ហាយនៈ	haːjeəneəʔ
ហាស	haːsɑʔ
ហាសវត្ថុ	haːsɑʋoəttʰoʔ
ហាំប៊ឺហ្គឺ	hɑmɓɨːɡɨː
ហិមៈ	hemeəʔ
ហិរញ្ញ	herɑɲ
ហិរញ្ញវត្ថុ	herɑɲɲeəʋoəttʰoʔ
ហិរណ្យ	herɑn
ហិរិ	heriʔ
ហឹរ	hɑə
ហូណូលូលូ	hounouluːluː
ហូឡង់	houlɑŋ
ហេតុ	haet
ហេមន្ត	heːmɑn
ហ៊ីត្លែរ	hiːtlɛː
ហ៊្សកដានី	zɔːɗaːniː
ហ័វ	haw
ហ្គាណា	ɡaːnaː
ហ្គាបុង	ɡaːɓoŋ
ហ្គាស	ɡaːh
ហ្គាស្សា	ɡaːssaː
ហ្គាំ	ɡɑm
ហ្គីតា	kiːtaː
ហ្គីយ៉ាន	ɡiːjaːn
ហ្គូហ្គល	ɡuːɡuəl
ហ្គេម	ɡeim
ហ្គេយ៍	ɡeij
ហ្គំប៊ី	ɡumɓiː
ហ្គ្រិនលែនដ៍	ɡrɨnlɛːn
ហ្នាំង	nɑŋ
ហ្នឹង	nəŋ
ហ្នុង	noŋ
ហ្ន័ង	nɑŋ
ហ្ម	mɑː
ហ្មង	mɑːŋ
ហ្មត់	mɑt
ហ្លាក់	lɑʔ
ហ្លួង	luəŋ
ហ្វាម៉ាស៊ី	faːmaːsiː
ហ្វារ	faː
ហ្វាស៊ីស	faːsiːh
ហ្វាំងឡង់	fɑŋlɑŋ
ហ្វីត	fəjt
ហ្វីល	fiːl
ហ្វីលីពីន	fiːliːpiːn
ហ្វីលីព្ពីន	fiːliːppiːn
ហ្វឹក	fək
ហ្វូង	fouŋ
ហ្វូស្វ័រ	fousʋoə
ហ្វើ	fɑə
ហ្វេ	ʋeː
ហ្វេន	feːn
ហ្វេសប៊ុក	feːsɓuk
ហ្វ្រង្ក	frɑŋ
ហ្វ្រាំង	frɑŋ
ហ្វ្រូម៉ាហ្ស	froumaː
ហ្វ្រែហ្ស៍	hʋrɛːh
ហ្វ្រ័ង	frɑŋ
ហ្សកហ្ស៊ី	zɑziː
ហ្សាម៉ាអ៊ីក	zaːmaːʔiːk
ហ្សីរ៉ាហ្វ	ziːraːf
ហ្សេរុយសាឡឹម	zeːrujsaːləm
ហ្សែន	zaen
ហ្សំប៊ី	zɑmɓiː
ហ្ស៊ីប	ziːp
ឡាក់តូស	lɑtouh
ឡាតាំង	laːtɑŋ
ឡាតាំងនីយកម្ម	laːtɑŋniːjeəkɑm
ឡាតាំងយានកម្ម	laːtɑŋjiənneəkɑm
ឡាប់យេរ	laːɓiːjɛː
ឡាប់យ៉េរ	laːɓiːjɛː
ឡាវេនឌឺ	laːʋeinɗɨː
ឡូសអេនជឺលេស	louhʔeːncɨːleih
ឡេតូនី	leːtouniː
អកុសល	ʔɑkosɑl
អក្ខរកម្ម	ʔɑkʰɑrɑkɑm
អក្ខរា	ʔɑkʰɑraː
អក្ខរាវិរុទ្ធ	ʔɑkʰɑraːʋirut
អក្ខរៈ	ʔɑkʰɑrɑʔ
អក្ខិ	ʔɑkʰeʔ
អក្ខោសាន	ʔɑkʰaosaːn
អគតិ	ʔɑkeəteʔ
អគ័រដេអុង	ʔɑːkoəɗeːʔoŋ
អគ្គ	ʔɑkeəʔ
អគ្គជៈ	ʔɑkeəceəʔ
អគ្គនាយក	ʔɑkeəniəjuəʔ
អគ្គលេខាធិការ	ʔɑkeəleikʰaːtʰikaː
អគ្គិ	ʔɑkiʔ
អគ្គិភ័យ	ʔɑkipʰɨj
អគ្គិសនី	ʔɑkisəniː
អគ្គី	ʔɑkiː
អគ្គីភ័យ	ʔɑkiːpʰɨj
អគ្គីសនី	ʔɑkiːsɑniː
អគ្និ	ʔɑniʔ
អគ្យសនី	ʔɑkjeəsɑniː
អឃោសៈ	ʔɑkʰoːsɑʔ
អង់គ្លេស	ʔɑŋkʰleih
អង់ទីហ្សែន	ʔɑŋtiːzaen
អង់ហ្គោឡា	ʔɑŋɡoːlaː
អង្ក	ʔɑŋkɑʔ
អង្កត់	ʔɑŋkɑt
អង្កន់	ʔɑŋkɑn
អង្គការ	ʔɑŋkaː
អង្គញ់	ʔɑŋkuəɲ
អង្គរក្ស	ʔɑŋkreəʔ
អង្គ័ល	ʔɑŋkoəl
អង្រន់	ʔɑŋruən
អង្រឹង	ʔɑŋrɨŋ
អង្រូស	ʔɑŋruːh
អង្រែ	ʔɑŋrɛː
អង្វែង	ʔɑŋʋɛːŋ
អចលនវត្ថុ	ʔɑcɑlənɑʋoəttʰoʔ
អញ	ʔɑɲ
អញ្ជ័ន	ʔɑɲcoən
អដវី	ʔɑɗɑʋiː
អដ្ឋករ	ʔɑttʰɑkɑː
អដ្ឋកោន	ʔɑttʰɑkaon
អដ្ឋបាន	ʔɑttʰɑɓaːn
អដ្ឋិ	ʔɑttʰeʔ
អដ្ឋិចម្មសត្វ	ʔɑttʰecɑmmɑsɑt
អឌ្ឍ	ʔɑttʰeəʔ
អឌ្ឍចន្ទ	ʔɑttʰeəcɑn
អណ្ឌៈ	ʔɑnɗeəʔ
អតិ	ʔɑte
អតិថិ	ʔɑtetʰeʔ
អតិថិជន	ʔɑtetʰecuən
អតិថី	ʔɑtetʰəj
អតិផរណា	ʔɑtepʰɑrɑnaː
អតិសុខុម	ʔɑtesokʰom
អតិសុខុមកាយ	ʔɑtesokʰomeəkaːj
អតិសុខុមទស្សន៍	ʔɑtesokʰomeətuəh
អតិសុខុមប្រាណ	ʔɑtesokʰomeəpraːn
អតីត	ʔɑtəjtɑʔ
អតីតកាល	ʔɑtəjtɑkaːl
អត្ត	ʔɑttɑʔ
អត្តពលកម្ម	ʔɑttɑpoəlləkɑm
អត្តពលិក	ʔɑttɑpoəllɨk
អត្តាធិបតី	ʔɑttaːtʰipɑɗəj
អត្តាធិបតេយ្យ	ʔɑttaːtʰipɑtaj
អត្ថន័យ	ʔɑttʰɑnɨj
អត្ថបទ	ʔɑttʰɑɓɑt
អត្ថរស	ʔɑttʰɑruəh
អត្ថិភាព	ʔɑttʰepʰiəp
អទេវនិយម	ʔɑteiʋeənijum
អធន	ʔɑtʰeəneəʔ
អធិការ	ʔɑtʰikaː
អធិការបតី	ʔɑtʰikaːrɑpɑɗəj
អធិក្រម	ʔɑtʰikrɑm
អធិក្រឹតិ	ʔɑtʰikrət
អធិដ្ឋាន	ʔɑtʰɨttʰaːn
អធិបតី	ʔɑtʰipɑɗəj
អធិបតេយ្យ	ʔɑtʰɨppɑtaj
អធិរាជ	ʔɑtʰiriəc
អធិរាជិនី	ʔɑtʰiriəciniː
អធ្រាត្រ	ʔɑttriət
អនតារីយ៉ូ	ʔɑːntaːriːjou
អនត្ថ	ʔɑnɑttʰɑʔ
អនឡាញ	ʔɑnlaːɲ
អនាគត	ʔɑnaːkuət
អនាធិបតេយ្យ	ʔɑnaːtʰɨppɑtaj
អនាម័យ	ʔɑnaːmaj
អនាម័យដ្ឋាន	ʔɑnaːmajtʰaːn
អនិច្ច	ʔɑnɨccɑʔ
អនិច្ចកម្ម	ʔɑnɨccɑkɑm
អនិច្ចា	ʔɑnɨccaː
អនិទ្រា	ʔɑnɨttriə
អនុ	ʔɑnuʔ
អនុកលា	ʔɑnukɑlaː
អនុក្រម	ʔɑnukrɑm
អនុក្រឹត្យ	ʔɑːnukrət
អនុគមន៍	ʔɑnukum
អនុគ្រោះ	ʔɑnukruəh
អនុញ្ញាត	ʔɑnuɲɲaːt
អនុត្តរ	ʔɑnuttɑrɑʔ
អនុត្តរភាព	ʔɑnuttɑrɑpʰiəp
អនុបណ្ឌិត	ʔɑnuɓɑnɗɨt
អនុប្រធាន	ʔɑnuprɑtʰiən
អនុប្រធានាធិបតី	ʔɑnuprɑtʰiəniətʰɨppɑɗəj
អនុព័ន្ធ	ʔɑnupoən
អនុម័ត	ʔɑnumɑt
អនុរក្ស	ʔɑnureəʔ
អនុវត្ត	ʔɑnuʋoət
អនុវត្តន៍	ʔɑnuʋoət
អនុសញ្ញា	ʔɑnusɑɲɲaː
អនុសាស	ʔɑnusaːh
អនុសោក	ʔɑnusaok
អនុស្វារ	ʔɑnuhsʋaːrɑʔ
អនុស្សរណៈ	ʔɑnuhsɑrɑnɑʔ
អនុស្សាវរីយ	ʔɑnuhsaːʋɑriː
អនុស្សាវរីយ៍	ʔɑnuhsaːʋɑriː
អនោម	ʔɑnoːm
អន្តរ	ʔɑnɗɑː
អន្តរវាសក	ʔɑntɑrɑʋaːsɑkɑʔ
អន្តរាគមន៍	ʔɑntɑraːkum
អន្តោប្រវេសន្ត	ʔɑntaoprɑʋeːsɑn
អន្តៈ	ʔɑntɑʔ
អន្ទង់	ʔɑntuəŋ
អន្ទាក់	ʔɑnteəʔ
អន្ធការ	ʔɑnkaː
អន្លក់	ʔɑnluəʔ
អន្លង់	ʔɑnluəŋ
អន្លើ	ʔɑnləː
អន្វេស	ʔɑnʋeih
អបនីត	ʔɑpɑniːt
អបាយមុខ	ʔɑɓaːjeəmuk
អប្បិយ	ʔɑppejɑʔ
អប្សរ	ʔɑppʰsɑː
អប្សរា	ʔɑppʰsɑraː
អផ្សុក	ʔɑppʰsok
អពយព	ʔɑppʰjup
អព្ភន្តរ	ʔɑppʰoəntɑrɑʔ
អព្យព	ʔɑppʰjup
អព្យយ	ʔɑppʰjeəjeəʔ
អព្យយសព្ទ	ʔɑppʰjeəjeəsɑp
អព្យយៈ	ʔɑppʰjeəjeəʔ
អភិ	ʔɑpʰi
អភិធម្ម	ʔɑpʰitʰoəm
អភិបាល	ʔɑpʰiɓaːl
អភិបូជា	ʔɑpʰiɓouciə
អភិមាន	ʔɑpʰimiən
អភិវឌ្ឍ	ʔɑpʰiʋoət
អភិវឌ្ឍន៍	ʔɑpʰiʋoət
អភិសេក	ʔɑpʰisaek
អភ័យ	ʔɑpʰɨj
អម្ភ័ស	ʔɑmpʰoəh
អម្រស់	ʔɑmrɑh
អយ	ʔɑjeəʔ
អយបថ	ʔɑjeəɓɑt
អយស្ម័យ	ʔɑjɑsmaj
អយស្ម័យយាន	ʔɑjɑhsmajjiən
អយោ	ʔɑjoː
អយោធ	ʔɑjoːt
អយ្យ	ʔajjɑʔ
អយ្យកា	ʔajjeəkaː
អយ្យកោ	ʔajjeəkao
អយ្យិកា	ʔajjikaː
អរប៊ីតាល់	ʔɑːɓiːtɑl
អរម៉ូន	ʔɑmoun
អរិយ	ʔɑrejɑʔ
អរិយធម៌	ʔɑrejɑtʰoə
អរុណ	ʔɑrun
អរូបធាតុ	ʔɑruːpɑtʰiət
អល្លោ	ʔɑllou
អវកាស	ʔɑʋeəkaːh
អវសាន	ʔɑʋeəsaːn
អវិជ្ជមាន	ʔɑʋɨcceəmiən
អវិរុទ្ធ	ʔɑʋirut
អវីចី	ʔɑʋiːcəj
អសង្ខេយ្យ	ʔɑsɑŋkʰaj
អសង្ហារិម	ʔɑsɑŋhaːrɨm
អសង្ហារិមៈ	ʔɑsɑŋhaːrimeəʔ
អសនី	ʔɑsɑniː
អសនីបថ	ʔɑsɑniːɓɑt
អសន្យាណូវិទ្យា	ʔɑsɑnjaːnouʋitʰjiə
អសាធារណ	ʔɑsaːtʰiə
អសាធារណៈ	ʔɑsaːtʰiə
អសុរ	ʔɑsol
អសេរិនី	ʔɑseireniː
អសេរី	ʔɑseirəj
អសំហារិមៈ	ʔɑsɑŋhaːrimeəʔ
អស្ចារ្យ	ʔɑhcaː
អស្តង្គត	ʔɑhsɗɑŋkoət
អស្តា	ʔɑhsɗaː
អស្វ	ʔɑhsʋɑʔ
អស្វឫទ្ឋិ	ʔɑhsʋɑrɨt
អស្វឫទ្ធិ	ʔɑhsʋɑrɨt
អស្វិន	ʔɑhsʋən
អស្សាភរណ៍	ʔɑhsaːpʰɔː
អស្សុ	ʔɑhsoʔ
អស្សុជ	ʔɑhsoc
អាកទិក	ʔaːtɨk
អាកប្ប	ʔaːkɑppɑʔ
អាករ	ʔaːkɑː
អាកាសចរ	ʔaːkaːsɑcɑː
អាកាសចរណ៍	ʔaːkaːsɑcɑː
អាកាសធាតុ	ʔaːkaːsɑtʰiət
អាកាសបាតុភូត	ʔaːkaːsɑpaːtopʰuːt
អាកាសយានដ្ឋាន	ʔaːkaːsɑjiənɑtʰaːn
អាក្រក់	ʔaːrɑʔ
អាគម	ʔaːkum
អាគាំង	ʔaːkeəŋ
អាគ័រ	ʔaːkoə
អាឃ្លោក	ʔaːloːk
អាងោះ	ʔaːŋuəh
អាចម៍	ʔɑc
អាចរិយ	ʔaːcɑrejɑʔ
អាជីវ	ʔaːciːʋeəʔ
អាជីវកម្ម	ʔaːciːʋeəkɑm
អាជីវៈ	ʔaːciːʋeəʔ
អាជ្ញា	ʔaːcɲaː
អាជ្ញាធរ	ʔaːcɲaːtʰɔː
អាជ្ញាប័ណ្ណ	ʔaːcɲaːɓɑn
អាណត្តិ	ʔaːnɑt
អាណាចក្រ	ʔaːnaːcɑʔ
អាណានិគម	ʔaːnaːnikum
អាណានិគមកិច្ច	ʔaːnaːnikumkəc
អាណានិគមនិយម	ʔaːnaːnikumnijum
អាថ៌	ʔaː
អាទិ	ʔaːtiʔ
អាទិទេព	ʔaːtiteip
អានីមេ	ʔaːniːmei
អានុភាព	ʔaːnupʰiəp
អាបណ	ʔaːpɑnɑʔ
អាបណក	ʔaːpɑnɑkɑː
អាបណិកា	ʔaːpɑnekaː
អាមាតិសារ	ʔaːmaːtesaː
អាមីដ	ʔaːmiːt
អាមីន	ʔaːmiːn
អាមីប	ʔaːmiːp
អាមេនី	ʔaːmeiniː
អាម៉េរិក	ʔaːmeirɨk
អាយតនៈ	ʔaːjɑtɑnɑʔ
អាយុ	ʔaːjuʔ
អាយុវឌ្ឍន៍	ʔaːjuʋoət
អាយ៉ង	ʔaːjɑːŋ
អាយ័ត	ʔaːjɑt
អារក្ខ	ʔaːrɑʔ
អារក្ស	ʔaːrɑʔ
អារម្មណ៍	ʔaːrɑm
អារាមិក	ʔaːraːmɨk
អារាមិកា	ʔaːraːmikaː
អារីស្តូត	ʔaːriːstout
អារីហ្សូណា	ʔaːriːzounaː
អាលិង្គន	ʔaːlɨŋkeəneəʔ
អាលុយមីញ៉ូម	ʔaːlujmiːɲoum
អាល់បានី	ʔɑlɓaːniː
អាល់ហ្វា	ʔɑlfaː
អាល់ហ្សេ	ʔɑlzeː
អាល់ហ្សេរី	ʔɑlzeːriː
អាល័យ	ʔaːlaj
អាល្លឺម៉ង់	ʔaːlləɨmɑŋ
អាវុធ	ʔaːʋut
អាវេសិក	ʔaːʋeisək
អាសន្ទិ	ʔaːsɑntiʔ
អាសន្ន	ʔaːsɑn
អាសន្នរោគ	ʔaːsɑnnɑroːk
អាសយដ្ឋាន	ʔaːsɑjɑttʰaːn
អាសហ្គាបាត	ʔaːhɡiəɓaːt
អាសាឍ	ʔaːsaːt
អាសូត	ʔaːzout
អាសេនិក	ʔaːseːnɨk
អាស៊ី	ʔaːziː
អាស៊ីដក្លរីឌ្រិក	ʔaːsiːtkʰlɑːriːtrɨc
អាស៊ែបៃហ្សង់	ʔaːsɛːɓajzɑŋ
អាស់សង់ស័រ	ʔɑhsɑŋsoə
អាស្រូវ	ʔaːsrəw
អាស្រ័យ	ʔaːsraj
អាហរ័ណ	ʔaːhɑrɑn
អាហារដ្ឋាន	ʔaːhaːrɑttʰaːn
អាហារប័ណ្ណ	ʔaːhaːrɑɓɑn
អាហារិន	ʔaːhaːrɨn
អាហារូបករណ៍	ʔaːhaːruːpɑkɑː
អាហ្កា	ʔaːɡaː
អាហ្មុក	hɑmok
អាហ្វហ្គានីស្ថាន	ʔaːfɡiəniːstʰaːn
អាហ្វ្រិក	ʔaːfrɨk
អាហ្សង់ទីន	ʔaːzɑŋtiːn
អាឡែរហ្សី	ʔaːlaezəj
អាំង	ʔɑŋ
អាំងដ្យូម	ʔɑŋɗjoum
អាំងតេក្រាល	ʔɑŋteːkraːl
អាំងស៊ុយលីន	ʔɑŋsujliːn
អិស្លាម	ʔehslaːm
អឺការីយ៉ូត	ʔəɨkaːriːjout
អឺរ៉ូព្យ៉ូម	ʔəɨroupʰjuːm
អុកស៊ីហ្សែន	ʔoksiːzaen
អុរ	ʔol
អុលម៉្ញូម	ʔolmɲuːm
អូតង់	ʔoutɑŋ
អូតូម៉ង់	ʔoutoumɑŋ
អូតូរុត	ʔoutourut
អូប៉ាល័រ	ʔoupaːloə
អូប័រ	ʔouɓoə
អូមែន	ʔoumɛːn
អូរីហ្គិន	ʔouriːɡɨn
អូលីវ	ʔouliːw
អូវែ	ʔouʋɛː
អូសេអានី	ʔouseːʔaːniː
អូស្ត្រាលី	ʔoustraːliː
អូស្រ្តាលី	ʔoustraːliː
អេក្រង់	ʔeːkrɑŋ
អេក្វាទ័រ	ʔeːkʰʋaːtoə
អេពីណា	ʔeːpiːnaː
អេមីរ៉ាត	ʔeːmiːraːt
អេរីត្រេ	ʔeːriːtreː
អេលីកុបទែរ	ʔeːliːkoptɛː
អេលីប	ʔeːliːp
អេល្យូម	ʔeːljuːm
អេសប្រេសសូ	ʔeːspreːssou
អេស្តូនី	ʔeːstouniː
អេស្ប៉ាញ	ʔeːspaːɲ
អេហ្ស៊ីប	ʔeːziːp
អែលសាល់វ៉ាឌ័រ	ʔaelsɑlʋaːɗoə
អំណត់	ʔɑmnɑt
អំណប់	ʔɑmnɑp
អំណរ	ʔɑmnɑː
អំណស់	ʔɑmnɑh
អំប៊ូឡង់ស៍	ʔɑmɓuːlɑŋ
អំពក	ʔɑmpɔːʔ
អំពល់	ʔɑmpuəl
អំពាន់	ʔɑmpoən
អ៊ីតាលី	ʔiːtaːliː
អ៊ីនធឺណិត	ʔiːntʰɨːnət
អ៊ីប៉ូតេនុស	ʔiːpouteːnuh
អ៊ីរ៉ង់	ʔiːrɑŋ
អ៊ីលីណយ	ʔiːliːnɑːj
អ៊ីសូមែ	ʔiːsoumɛː
អ៊ីស្លង់	ʔiːslɑŋ
អ៊ីស្លាម	ʔehslaːm
អ៊ុយរូហ្គាយ	ʔujruːɡiəj
អ៊ូហ្គង់ដា	ʔuːɡuəŋɗaː
អ៊ំ	ʔom
អ័ព្ភសន្និបាត	ʔɑppʰeəsɑnniɓaːt
អ្នក	neəʔ
ឥ	ʔeʔ
ឥច្ឆា	ʔəccʰaː
ឥដ្ឋ	ʔət
ឥណ	ʔinɑʔ
ឥណទាន	ʔinɑtiən
ឥណទាយក	ʔinɑtiəjuəʔ
ឥណពន្ធ	ʔinɑpuən
ឥណ្ឌា	ʔənɗiə
ឥណ្ឌូ	ʔənɗuː
ឥណ្ឌូចិន	ʔenɗuːcən
ឥណ្ឌូនេស៊ី	ʔənɗuːneisiː
ឥណ្ឌៀ	ʔənɗiə
ឥត	ʔət
ឥតិហាស	ʔetehaːh
ឥត្ថី	ʔəttʰəj
ឥទ្ធិ	ʔəttʰiʔ
ឥទ្ធិពល	ʔəttʰipuəl
ឥន្ទ	ʔən
ឥន្ទធនូ	ʔəntʰeənuː
ឥន្ទនេល	ʔənteəneil
ឥន្ទុ	ʔəntuʔ
ឥន្ទ្រិយ	ʔəntriː
ឥន្ទ្រី	ʔəntriː
ឥន្ធនៈ	ʔəntʰeəneəʔ
ឥរា	ʔiraː
ឥរាវតី	ʔiraːʋeətəj
ឥរិយា	ʔerejaː
ឥរិយាបថ	ʔerejaːɓɑt
ឥរុវេទ	ʔiruʋeit
ឥលូវ	ʔəjləw
ឥស	ʔəh
ឥសិ	ʔiseʔ
ឥសី	ʔisəj
ឥសីភេសជ្ជ	ʔesəjpʰeisɑc
ឥសុការ	ʔisokaː
ឥសូរ	ʔisou
ឥស្លាម	ʔehslaːm
ឥស្លាម៉ាបាដ	ʔehslaːmaːɓaːt
ឥស្សរ	ʔɨhsɑrɑʔ
ឥស្សរិយ	ʔihsɑrejɑʔ
ឥស្សរិយាភរណៈ	ʔihsɑrejɑpʰeəreənɑʔ
ឥស្សរៈ	ʔisɑrɑʔ
ឥស្សា	ʔihsaː
ឥឡូវ	ʔəjləw
ឦ	ʔəj
ឦតិហាស	ʔetehaːh
ឦស	ʔiːsɑʔ
ឦសធរ	ʔiːsɑtʰɔː
ឦសាន	ʔiːsaːn
ឦសូរ	ʔiːsou
ឧ	ʔoʔ
ឧក	ʔok
ឧកញ៉ា	ʔokɲaː
ឧកាស	ʔukaːsɑʔ
ឧក្កដ្ឋ	ʔukkɑttʰɑʔ
ឧក្កដ្ឋិសព្ទ	ʔukkɑttʰesɑp
ឧក្កាបាត	ʔukkaːɓaːt
ឧក្រិដ្ឋ	ʔokkrət
ឧក្រិដ្ឋកម្ម	ʔokkrətkɑm
ឧក្រិដ្ឋជន	ʔokkrəttʰɑcuən
ឧគ្ឃោសន	ʔukkʰoːsɑnɑʔ
ឧច្ច	ʔuccɑʔ
ឧច្ចារ	ʔuccaː
ឧជុ	ʔucuʔ
ឧជ្ឈាន	ʔuccʰiən
ឧដុង្គ	ʔuɗoŋ
ឧណ្ណា	ʔunnaː
ឧណ្ហ	ʔun
ឧណ្ហីស	ʔunhəh
ឧតុ	ʔutoʔ
ឧតុរាជ	ʔutoriəc
ឧត្ដម	ʔutɗɑm
ឧត្តម	ʔutɗɑm
ឧត្តរ	ʔotɗɑː
ឧត្តរិ	ʔuttɑreʔ
ឧត្តាន	ʔuttaːn
ឧត្តាស	ʔuttaːsɑʔ
ឧទក	ʔuteəkɑʔ
ឧទរ	ʔutɔː
ឧទាន	ʔutiən
ឧទានសញ្ញា	ʔutiənsɑɲɲaː
ឧទានសព្ទ	ʔutiənsɑp
ឧទានស័ព្ទ	ʔutiənsɑp
ឧទាហរណ៍	ʔutiəhɑː
ឧទ្ទាម	ʔuttiəm
ឧទ្ទិន	ʔuttɨn
ឧទ្ធម្ភាគចក្រ	ʔuttʰoəmpʰiəkeəcɑʔ
ឧទ្យាន	ʔuttʰjiən
ឧបករណ៍	ʔupɑkɑː
ឧបជ្ឈា	ʔupɑccʰiə
ឧបជ្ឈាយ៍	ʔupɑccʰiə
ឧបដ្ឋាន	ʔupɑttʰaːn
ឧបត្ថម្ភ	ʔupɑttʰɑm
ឧបទ្រព	ʔupɑtrup
ឧបទ្វីប	ʔupɑttʰʋiːp
ឧបយុវរាជ	ʔupɑjuʋeəriəc
ឧបរាជ	ʔopɑraːc
ឧបសគ្គ	ʔupɑsɑʔ
ឧបសម្បន្ន	ʔupɑsɑmɓɑn
ឧបាទាន	ʔupaːtiən
ឧបាយ	ʔuɓaːj
ឧបេក្ខា	ʔupeːkkʰaː
ឧបោសថ	ʔupaosɑtʰɑʔ
ឧប្បត្តិ	ʔuppɑt
ឧប្បាទធម៌	ʔuppaːteətʰoə
ឧភយោរាជ	ʔupʰeəjoːriəc
ឧម្មង្គ	ʔummɑŋ
ឧម្មត្តកោ	ʔummɑttɑkao
ឧម្មត្តកៈ	ʔummɑttɑkɑʔ
ឧម្មុង្គ	ʔummoŋ
ឧរគ	ʔurɑkeəʔ
ឧរង្គ	ʔurɑŋ
ឧរង្គសត្វ	ʔurɑŋkeəsɑt
ឧរា	ʔuraː
ឧរ៉ៃ	ʔaoraj
ឧស	ʔoh
ឧសភា	ʔosɑpʰiə
ឧស្ម័ន	ʔusmɑn
ឧស្សវៈ	ʔuhsɑʋɑʔ
ឧស្សាហកម្ម	ʔuhsaːhɑkɑm
ឧស្សាហូបនីយកម្ម	ʔuhsaːhoupɑniːjeəkɑm
ឧស្សាហៈ	ʔuhsaːhɑʔ
ឧស្សាហ៍	ʔuhsaː
ឩកា	ʔuːkaː
ឩដ្ឋ	ʔout
ឩរុ	ʔuːruʔ
ឪ	ʔəw
ឪទឹន	ʔəwtɨn
ឪពុក	ʔəwpuk
ឪម៉ាល់	ʔəwmɑl
ឪឡឹក	ʔəwlək
ឫក	rɨk
ឫកពា	rɨkpiə
ឫក្ស	rɨk
ឫគ្វេទ	rɨkʋeit
ឫណ	rɨn
ឫទ្ធិ	rɨt
ឫស	rɨh
ឫសការេ	rɨhkaːreː
ឫសការ៉េ	rɨhkaːreː
ឫស្យា	rɨhsjaː
ឫស្សី	rɨhsəj
ឬ	rɨː
ឮ	lɨː
ឯ	ʔae
ឯក	ʔaek
ឯកជន	ʔaekɑcuən
ឯកតា	ʔaektaː
ឯកតោ	ʔeːkɑtao
ឯកទេស	ʔaekɑteih
ឯកភាព	ʔaekɑpʰiəp
ឯករាជ	ʔaekɑriəc
ឯករាជ្យ	ʔaekɑriəc
ឯកវចនៈ	ʔaekəʋɑccənɑʔ
ឯកសារ	ʔaekɑsaː
ឯកសិទ្ធិ	ʔaekɑsət
ឯកអគ្គរដ្ឋទូត	ʔaekʔɑkeəroəttʰɑtuːt
ឯកអគ្គរាជទូត	ʔaekʔɑkeəriəceətuːt
ឯកា	ʔaekaː
ឯកាធិកម្ម	ʔaekaːtʰikɑm
ឯកាធិភាព	ʔaekaːtʰipʰiəp
ឯកោ	ʔaekao
ឯង	ʔaeŋ
ឯរាវ័ណ	ʔajraːʋoən
ឯវំ	ʔaeʋɑŋ
ឰរាវ័ត	ʔajraːʋoət
ឰសូរ	ʔajsou
ឱកាស	ʔaokaːh
ឱក័ស	ʔaokɑh
ឱឃ	ʔaokʰeəʔ
ឱជ	ʔaoc
ឱដ្ឋជ	ʔaottʰɑceəʔ
ឱនភាព	ʔaonɑpʰiəp
ឱប	ʔaop
ឱបរឹត	ʔaoprɨt
ឱរា	ʔaoraː
ឱរ៉ាល់	ʔaorɑl
ឱរ៉ុប	ʔaorop
ឱរ៉ូប	ʔaoroup
ឱលោកដ្ឋាន	ʔaoloːkɑttʰaːn
ឱវាទ	ʔaoʋaːt
ឱសថ	ʔaosot
ឱសថស្ថាន	ʔaosɑtstʰaːn
ឱសថាល័យ	ʔaosotʰaːlaj
ឱសានវាទ	ʔaosaːnɑʋiət
ឱស្ឋ	ʔaoh
ឱស្រព	ʔaosrɑp
ឱហាត	ʔaohaːt
ឱឡារិក	ʔaolaːrɨk
ឱឡិគល្ល	ʔaolekoəl
ឱ្យ	ʔaoj
ឲ្យ	ʔaoj
ឳ	ʔəw
ឳពុក	ʔəwpuk
។ល។	lɑʔ
